id,pregunta_id,etiqueta,texto,es_correcta
61,16,A,Opción A de la pregunta 16,0
62,16,B,Opción B de la pregunta 16,0
63,16,C,Opción C de la pregunta 16,1
64,16,D,Opción D de la pregunta 16,0
65,17,A,Opción A de la pregunta 17,0
66,17,B,Opción B de la pregunta 17,0
67,17,C,Opción C de la pregunta 17,1
68,17,D,Opción D de la pregunta 17,0
69,18,A,Opción A de la pregunta 18,0
70,18,B,Opción B de la pregunta 18,1
71,18,C,Opción C de la pregunta 18,0
72,18,D,Opción D de la pregunta 18,0
73,19,A,Opción A de la pregunta 19,0
74,19,B,Opción B de la pregunta 19,0
75,19,C,Opción C de la pregunta 19,0
76,19,D,Opción D de la pregunta 19,1
77,20,A,Opción A de la pregunta 20,0
78,20,B,Opción B de la pregunta 20,0
79,20,C,Opción C de la pregunta 20,0
80,20,D,Opción D de la pregunta 20,1
81,21,A,Opción A de la pregunta 21,0
82,21,B,Opción B de la pregunta 21,0
83,21,C,Opción C de la pregunta 21,1
84,21,D,Opción D de la pregunta 21,0
85,22,A,Opción A de la pregunta 22,0
86,22,B,Opción B de la pregunta 22,0
87,22,C,Opción C de la pregunta 22,0
88,22,D,Opción D de la pregunta 22,1
89,23,A,Opción A de la pregunta 23,0
90,23,B,Opción B de la pregunta 23,0
91,23,C,Opción C de la pregunta 23,0
92,23,D,Opción D de la pregunta 23,1
93,24,A,Opción A de la pregunta 24,0
94,24,B,Opción B de la pregunta 24,1
95,24,C,Opción C de la pregunta 24,0
96,24,D,Opción D de la pregunta 24,0
97,25,A,Opción A de la pregunta 25,0
98,25,B,Opción B de la pregunta 25,0
99,25,C,Opción C de la pregunta 25,1
100,25,D,Opción D de la pregunta 25,0
101,26,A,Opción A de la pregunta 26,0
102,26,B,Opción B de la pregunta 26,1
103,26,C,Opción C de la pregunta 26,0
104,26,D,Opción D de la pregunta 26,0
105,27,A,Opción A de la pregunta 27,0
106,27,B,Opción B de la pregunta 27,0
107,27,C,Opción C de la pregunta 27,0
108,27,D,Opción D de la pregunta 27,1
109,28,A,Opción A de la pregunta 28,0
110,28,B,Opción B de la pregunta 28,1
111,28,C,Opción C de la pregunta 28,0
112,28,D,Opción D de la pregunta 28,0
113,29,A,Opción A de la pregunta 29,0
114,29,B,Opción B de la pregunta 29,1
115,29,C,Opción C de la pregunta 29,0
116,29,D,Opción D de la pregunta 29,0
117,30,A,Opción A de la pregunta 30,0
118,30,B,Opción B de la pregunta 30,0
119,30,C,Opción C de la pregunta 30,1
120,30,D,Opción D de la pregunta 30,0
121,31,A,Opción A de la pregunta 31,0
122,31,B,Opción B de la pregunta 31,0
123,31,C,Opción C de la pregunta 31,0
124,31,D,Opción D de la pregunta 31,1
125,32,A,Opción A de la pregunta 32,1
126,32,B,Opción B de la pregunta 32,0
127,32,C,Opción C de la pregunta 32,0
128,32,D,Opción D de la pregunta 32,0
129,33,A,Opción A de la pregunta 33,1
130,33,B,Opción B de la pregunta 33,0
131,33,C,Opción C de la pregunta 33,0
132,33,D,Opción D de la pregunta 33,0
133,34,A,Opción A de la pregunta 34,0
134,34,B,Opción B de la pregunta 34,0
135,34,C,Opción C de la pregunta 34,1
136,34,D,Opción D de la pregunta 34,0
137,35,A,Opción A de la pregunta 35,1
138,35,B,Opción B de la pregunta 35,0
139,35,C,Opción C de la pregunta 35,0
140,35,D,Opción D de la pregunta 35,0
141,36,A,Opción A de la pregunta 36,0
142,36,B,Opción B de la pregunta 36,1
143,36,C,Opción C de la pregunta 36,0
144,36,D,Opción D de la pregunta 36,0
145,37,A,Opción A de la pregunta 37,0
146,37,B,Opción B de la pregunta 37,0
147,37,C,Opción C de la pregunta 37,0
148,37,D,Opción D de la pregunta 37,1
149,38,A,Opción A de la pregunta 38,1
150,38,B,Opción B de la pregunta 38,0
151,38,C,Opción C de la pregunta 38,0
152,38,D,Opción D de la pregunta 38,0
153,39,A,Opción A de la pregunta 39,0
154,39,B,Opción B de la pregunta 39,0
155,39,C,Opción C de la pregunta 39,1
156,39,D,Opción D de la pregunta 39,0
157,40,A,Opción A de la pregunta 40,0
158,40,B,Opción B de la pregunta 40,1
159,40,C,Opción C de la pregunta 40,0
160,40,D,Opción D de la pregunta 40,0
161,41,A,Opción A de la pregunta 41,0
162,41,B,Opción B de la pregunta 41,0
163,41,C,Opción C de la pregunta 41,0
164,41,D,Opción D de la pregunta 41,1
165,42,A,Opción A de la pregunta 42,0
166,42,B,Opción B de la pregunta 42,0
167,42,C,Opción C de la pregunta 42,0
168,42,D,Opción D de la pregunta 42,1
169,43,A,Opción A de la pregunta 43,1
170,43,B,Opción B de la pregunta 43,0
171,43,C,Opción C de la pregunta 43,0
172,43,D,Opción D de la pregunta 43,0
173,44,A,Opción A de la pregunta 44,0
174,44,B,Opción B de la pregunta 44,0
175,44,C,Opción C de la pregunta 44,1
176,44,D,Opción D de la pregunta 44,0
177,45,A,Opción A de la pregunta 45,0
178,45,B,Opción B de la pregunta 45,0
179,45,C,Opción C de la pregunta 45,0
180,45,D,Opción D de la pregunta 45,1
181,46,A,Opción A de la pregunta 46,0
182,46,B,Opción B de la pregunta 46,0
183,46,C,Opción C de la pregunta 46,1
184,46,D,Opción D de la pregunta 46,0
185,47,A,Opción A de la pregunta 47,0
186,47,B,Opción B de la pregunta 47,0
187,47,C,Opción C de la pregunta 47,0
188,47,D,Opción D de la pregunta 47,1
189,48,A,Opción A de la pregunta 48,0
190,48,B,Opción B de la pregunta 48,0
191,48,C,Opción C de la pregunta 48,1
192,48,D,Opción D de la pregunta 48,0
193,49,A,Opción A de la pregunta 49,0
194,49,B,Opción B de la pregunta 49,0
195,49,C,Opción C de la pregunta 49,0
196,49,D,Opción D de la pregunta 49,1
197,50,A,Opción A de la pregunta 50,0
198,50,B,Opción B de la pregunta 50,0
199,50,C,Opción C de la pregunta 50,0
200,50,D,Opción D de la pregunta 50,1
201,51,A,Opción A de la pregunta 51,0
202,51,B,Opción B de la pregunta 51,0
203,51,C,Opción C de la pregunta 51,1
204,51,D,Opción D de la pregunta 51,0
205,52,A,Opción A de la pregunta 52,0
206,52,B,Opción B de la pregunta 52,1
207,52,C,Opción C de la pregunta 52,0
208,52,D,Opción D de la pregunta 52,0
209,53,A,Opción A de la pregunta 53,1
210,53,B,Opción B de la pregunta 53,0
211,53,C,Opción C de la pregunta 53,0
212,53,D,Opción D de la pregunta 53,0
213,54,A,Opción A de la pregunta 54,1
214,54,B,Opción B de la pregunta 54,0
215,54,C,Opción C de la pregunta 54,0
216,54,D,Opción D de la pregunta 54,0
217,55,A,Opción A de la pregunta 55,1
218,55,B,Opción B de la pregunta 55,0
219,55,C,Opción C de la pregunta 55,0
220,55,D,Opción D de la pregunta 55,0
221,56,A,Opción A de la pregunta 56,0
222,56,B,Opción B de la pregunta 56,1
223,56,C,Opción C de la pregunta 56,0
224,56,D,Opción D de la pregunta 56,0
225,57,A,Opción A de la pregunta 57,1
226,57,B,Opción B de la pregunta 57,0
227,57,C,Opción C de la pregunta 57,0
228,57,D,Opción D de la pregunta 57,0
229,58,A,Opción A de la pregunta 58,0
230,58,B,Opción B de la pregunta 58,0
231,58,C,Opción C de la pregunta 58,1
232,58,D,Opción D de la pregunta 58,0
233,59,A,Opción A de la pregunta 59,1
234,59,B,Opción B de la pregunta 59,0
235,59,C,Opción C de la pregunta 59,0
236,59,D,Opción D de la pregunta 59,0
237,60,A,Opción A de la pregunta 60,1
238,60,B,Opción B de la pregunta 60,0
239,60,C,Opción C de la pregunta 60,0
240,60,D,Opción D de la pregunta 60,0
241,61,A,Opción A de la pregunta 61,0
242,61,B,Opción B de la pregunta 61,1
243,61,C,Opción C de la pregunta 61,0
244,61,D,Opción D de la pregunta 61,0
245,62,A,Opción A de la pregunta 62,1
246,62,B,Opción B de la pregunta 62,0
247,62,C,Opción C de la pregunta 62,0
248,62,D,Opción D de la pregunta 62,0
249,63,A,Opción A de la pregunta 63,1
250,63,B,Opción B de la pregunta 63,0
251,63,C,Opción C de la pregunta 63,0
252,63,D,Opción D de la pregunta 63,0
253,64,A,Opción A de la pregunta 64,0
254,64,B,Opción B de la pregunta 64,1
255,64,C,Opción C de la pregunta 64,0
256,64,D,Opción D de la pregunta 64,0
257,65,A,Opción A de la pregunta 65,0
258,65,B,Opción B de la pregunta 65,0
259,65,C,Opción C de la pregunta 65,0
260,65,D,Opción D de la pregunta 65,1
261,66,A,Opción A de la pregunta 66,0
262,66,B,Opción B de la pregunta 66,0
263,66,C,Opción C de la pregunta 66,1
264,66,D,Opción D de la pregunta 66,0
265,67,A,Opción A de la pregunta 67,0
266,67,B,Opción B de la pregunta 67,0
267,67,C,Opción C de la pregunta 67,1
268,67,D,Opción D de la pregunta 67,0
269,68,A,Opción A de la pregunta 68,0
270,68,B,Opción B de la pregunta 68,1
271,68,C,Opción C de la pregunta 68,0
272,68,D,Opción D de la pregunta 68,0
273,69,A,Opción A de la pregunta 69,0
274,69,B,Opción B de la pregunta 69,0
275,69,C,Opción C de la pregunta 69,0
276,69,D,Opción D de la pregunta 69,1
277,70,A,Opción A de la pregunta 70,0
278,70,B,Opción B de la pregunta 70,0
279,70,C,Opción C de la pregunta 70,0
280,70,D,Opción D de la pregunta 70,1
281,71,A,Opción A de la pregunta 71,0
282,71,B,Opción B de la pregunta 71,1
283,71,C,Opción C de la pregunta 71,0
284,71,D,Opción D de la pregunta 71,0
285,72,A,Opción A de la pregunta 72,0
286,72,B,Opción B de la pregunta 72,0
287,72,C,Opción C de la pregunta 72,1
288,72,D,Opción D de la pregunta 72,0
289,73,A,Opción A de la pregunta 73,0
290,73,B,Opción B de la pregunta 73,0
291,73,C,Opción C de la pregunta 73,0
292,73,D,Opción D de la pregunta 73,1
293,74,A,Opción A de la pregunta 74,0
294,74,B,Opción B de la pregunta 74,1
295,74,C,Opción C de la pregunta 74,0
296,74,D,Opción D de la pregunta 74,0
297,75,A,Opción A de la pregunta 75,0
298,75,B,Opción B de la pregunta 75,1
299,75,C,Opción C de la pregunta 75,0
300,75,D,Opción D de la pregunta 75,0
301,76,A,Opción A de la pregunta 76,1
302,76,B,Opción B de la pregunta 76,0
303,76,C,Opción C de la pregunta 76,0
304,76,D,Opción D de la pregunta 76,0
305,77,A,Opción A de la pregunta 77,0
306,77,B,Opción B de la pregunta 77,0
307,77,C,Opción C de la pregunta 77,0
308,77,D,Opción D de la pregunta 77,1
309,78,A,Opción A de la pregunta 78,0
310,78,B,Opción B de la pregunta 78,0
311,78,C,Opción C de la pregunta 78,1
312,78,D,Opción D de la pregunta 78,0
313,79,A,Opción A de la pregunta 79,1
314,79,B,Opción B de la pregunta 79,0
315,79,C,Opción C de la pregunta 79,0
316,79,D,Opción D de la pregunta 79,0
317,80,A,Opción A de la pregunta 80,1
318,80,B,Opción B de la pregunta 80,0
319,80,C,Opción C de la pregunta 80,0
320,80,D,Opción D de la pregunta 80,0
321,81,A,Opción A de la pregunta 81,0
322,81,B,Opción B de la pregunta 81,0
323,81,C,Opción C de la pregunta 81,0
324,81,D,Opción D de la pregunta 81,1
325,82,A,Opción A de la pregunta 82,0
326,82,B,Opción B de la pregunta 82,1
327,82,C,Opción C de la pregunta 82,0
328,82,D,Opción D de la pregunta 82,0
329,83,A,Opción A de la pregunta 83,0
330,83,B,Opción B de la pregunta 83,1
331,83,C,Opción C de la pregunta 83,0
332,83,D,Opción D de la pregunta 83,0
333,84,A,Opción A de la pregunta 84,1
334,84,B,Opción B de la pregunta 84,0
335,84,C,Opción C de la pregunta 84,0
336,84,D,Opción D de la pregunta 84,0
337,85,A,Opción A de la pregunta 85,0
338,85,B,Opción B de la pregunta 85,0
339,85,C,Opción C de la pregunta 85,1
340,85,D,Opción D de la pregunta 85,0
341,86,A,Opción A de la pregunta 86,0
342,86,B,Opción B de la pregunta 86,0
343,86,C,Opción C de la pregunta 86,1
344,86,D,Opción D de la pregunta 86,0
345,87,A,Opción A de la pregunta 87,0
346,87,B,Opción B de la pregunta 87,0
347,87,C,Opción C de la pregunta 87,1
348,87,D,Opción D de la pregunta 87,0
349,88,A,Opción A de la pregunta 88,0
350,88,B,Opción B de la pregunta 88,1
351,88,C,Opción C de la pregunta 88,0
352,88,D,Opción D de la pregunta 88,0
353,89,A,Opción A de la pregunta 89,0
354,89,B,Opción B de la pregunta 89,0
355,89,C,Opción C de la pregunta 89,1
356,89,D,Opción D de la pregunta 89,0
357,90,A,Opción A de la pregunta 90,0
358,90,B,Opción B de la pregunta 90,0
359,90,C,Opción C de la pregunta 90,0
360,90,D,Opción D de la pregunta 90,1
361,91,A,Opción A de la pregunta 91,0
362,91,B,Opción B de la pregunta 91,1
363,91,C,Opción C de la pregunta 91,0
364,91,D,Opción D de la pregunta 91,0
365,92,A,Opción A de la pregunta 92,1
366,92,B,Opción B de la pregunta 92,0
367,92,C,Opción C de la pregunta 92,0
368,92,D,Opción D de la pregunta 92,0
369,93,A,Opción A de la pregunta 93,0
370,93,B,Opción B de la pregunta 93,1
371,93,C,Opción C de la pregunta 93,0
372,93,D,Opción D de la pregunta 93,0
373,94,A,Opción A de la pregunta 94,0
374,94,B,Opción B de la pregunta 94,1
375,94,C,Opción C de la pregunta 94,0
376,94,D,Opción D de la pregunta 94,0
377,95,A,Opción A de la pregunta 95,1
378,95,B,Opción B de la pregunta 95,0
379,95,C,Opción C de la pregunta 95,0
380,95,D,Opción D de la pregunta 95,0
381,96,A,Opción A de la pregunta 96,1
382,96,B,Opción B de la pregunta 96,0
383,96,C,Opción C de la pregunta 96,0
384,96,D,Opción D de la pregunta 96,0
385,97,A,Opción A de la pregunta 97,1
386,97,B,Opción B de la pregunta 97,0
387,97,C,Opción C de la pregunta 97,0
388,97,D,Opción D de la pregunta 97,0
389,98,A,Opción A de la pregunta 98,0
390,98,B,Opción B de la pregunta 98,1
391,98,C,Opción C de la pregunta 98,0
392,98,D,Opción D de la pregunta 98,0
393,99,A,Opción A de la pregunta 99,0
394,99,B,Opción B de la pregunta 99,0
395,99,C,Opción C de la pregunta 99,1
396,99,D,Opción D de la pregunta 99,0
397,100,A,Opción A de la pregunta 100,0
398,100,B,Opción B de la pregunta 100,0
399,100,C,Opción C de la pregunta 100,1
400,100,D,Opción D de la pregunta 100,0
401,101,A,Opción A de la pregunta 101,0
402,101,B,Opción B de la pregunta 101,0
403,101,C,Opción C de la pregunta 101,0
404,101,D,Opción D de la pregunta 101,1
405,102,A,Opción A de la pregunta 102,1
406,102,B,Opción B de la pregunta 102,0
407,102,C,Opción C de la pregunta 102,0
408,102,D,Opción D de la pregunta 102,0
409,103,A,Opción A de la pregunta 103,0
410,103,B,Opción B de la pregunta 103,0
411,103,C,Opción C de la pregunta 103,0
412,103,D,Opción D de la pregunta 103,1
413,104,A,Opción A de la pregunta 104,0
414,104,B,Opción B de la pregunta 104,1
415,104,C,Opción C de la pregunta 104,0
416,104,D,Opción D de la pregunta 104,0
417,105,A,Opción A de la pregunta 105,1
418,105,B,Opción B de la pregunta 105,0
419,105,C,Opción C de la pregunta 105,0
420,105,D,Opción D de la pregunta 105,0
421,106,A,Opción A de la pregunta 106,1
422,106,B,Opción B de la pregunta 106,0
423,106,C,Opción C de la pregunta 106,0
424,106,D,Opción D de la pregunta 106,0
425,107,A,Opción A de la pregunta 107,0
426,107,B,Opción B de la pregunta 107,0
427,107,C,Opción C de la pregunta 107,0
428,107,D,Opción D de la pregunta 107,1
429,108,A,Opción A de la pregunta 108,0
430,108,B,Opción B de la pregunta 108,0
431,108,C,Opción C de la pregunta 108,0
432,108,D,Opción D de la pregunta 108,1
433,109,A,Opción A de la pregunta 109,0
434,109,B,Opción B de la pregunta 109,1
435,109,C,Opción C de la pregunta 109,0
436,109,D,Opción D de la pregunta 109,0
437,110,A,Opción A de la pregunta 110,1
438,110,B,Opción B de la pregunta 110,0
439,110,C,Opción C de la pregunta 110,0
440,110,D,Opción D de la pregunta 110,0
441,111,A,Opción A de la pregunta 111,1
442,111,B,Opción B de la pregunta 111,0
443,111,C,Opción C de la pregunta 111,0
444,111,D,Opción D de la pregunta 111,0
445,112,A,Opción A de la pregunta 112,1
446,112,B,Opción B de la pregunta 112,0
447,112,C,Opción C de la pregunta 112,0
448,112,D,Opción D de la pregunta 112,0
449,113,A,Opción A de la pregunta 113,0
450,113,B,Opción B de la pregunta 113,1
451,113,C,Opción C de la pregunta 113,0
452,113,D,Opción D de la pregunta 113,0
453,114,A,Opción A de la pregunta 114,0
454,114,B,Opción B de la pregunta 114,1
455,114,C,Opción C de la pregunta 114,0
456,114,D,Opción D de la pregunta 114,0
457,115,A,Opción A de la pregunta 115,0
458,115,B,Opción B de la pregunta 115,0
459,115,C,Opción C de la pregunta 115,0
460,115,D,Opción D de la pregunta 115,1
461,116,A,Opción A de la pregunta 116,0
462,116,B,Opción B de la pregunta 116,0
463,116,C,Opción C de la pregunta 116,0
464,116,D,Opción D de la pregunta 116,1
465,117,A,Opción A de la pregunta 117,0
466,117,B,Opción B de la pregunta 117,0
467,117,C,Opción C de la pregunta 117,1
468,117,D,Opción D de la pregunta 117,0
469,118,A,Opción A de la pregunta 118,0
470,118,B,Opción B de la pregunta 118,0
471,118,C,Opción C de la pregunta 118,0
472,118,D,Opción D de la pregunta 118,1
473,119,A,Opción A de la pregunta 119,1
474,119,B,Opción B de la pregunta 119,0
475,119,C,Opción C de la pregunta 119,0
476,119,D,Opción D de la pregunta 119,0
477,120,A,Opción A de la pregunta 120,0
478,120,B,Opción B de la pregunta 120,0
479,120,C,Opción C de la pregunta 120,0
480,120,D,Opción D de la pregunta 120,1
481,121,A,Opción A de la pregunta 121,0
482,121,B,Opción B de la pregunta 121,1
483,121,C,Opción C de la pregunta 121,0
484,121,D,Opción D de la pregunta 121,0
485,122,A,Opción A de la pregunta 122,0
486,122,B,Opción B de la pregunta 122,0
487,122,C,Opción C de la pregunta 122,0
488,122,D,Opción D de la pregunta 122,1
489,123,A,Opción A de la pregunta 123,1
490,123,B,Opción B de la pregunta 123,0
491,123,C,Opción C de la pregunta 123,0
492,123,D,Opción D de la pregunta 123,0
493,124,A,Opción A de la pregunta 124,0
494,124,B,Opción B de la pregunta 124,0
495,124,C,Opción C de la pregunta 124,0
496,124,D,Opción D de la pregunta 124,1
497,125,A,Opción A de la pregunta 125,0
498,125,B,Opción B de la pregunta 125,1
499,125,C,Opción C de la pregunta 125,0
500,125,D,Opción D de la pregunta 125,0
501,126,A,Opción A de la pregunta 126,0
502,126,B,Opción B de la pregunta 126,0
503,126,C,Opción C de la pregunta 126,1
504,126,D,Opción D de la pregunta 126,0
505,127,A,Opción A de la pregunta 127,1
506,127,B,Opción B de la pregunta 127,0
507,127,C,Opción C de la pregunta 127,0
508,127,D,Opción D de la pregunta 127,0
509,128,A,Opción A de la pregunta 128,0
510,128,B,Opción B de la pregunta 128,1
511,128,C,Opción C de la pregunta 128,0
512,128,D,Opción D de la pregunta 128,0
513,129,A,Opción A de la pregunta 129,0
514,129,B,Opción B de la pregunta 129,0
515,129,C,Opción C de la pregunta 129,1
516,129,D,Opción D de la pregunta 129,0
517,130,A,Opción A de la pregunta 130,0
518,130,B,Opción B de la pregunta 130,0
519,130,C,Opción C de la pregunta 130,1
520,130,D,Opción D de la pregunta 130,0
521,131,A,Opción A de la pregunta 131,0
522,131,B,Opción B de la pregunta 131,0
523,131,C,Opción C de la pregunta 131,0
524,131,D,Opción D de la pregunta 131,1
525,132,A,Opción A de la pregunta 132,0
526,132,B,Opción B de la pregunta 132,0
527,132,C,Opción C de la pregunta 132,1
528,132,D,Opción D de la pregunta 132,0
529,133,A,Opción A de la pregunta 133,0
530,133,B,Opción B de la pregunta 133,0
531,133,C,Opción C de la pregunta 133,0
532,133,D,Opción D de la pregunta 133,1
533,134,A,Opción A de la pregunta 134,0
534,134,B,Opción B de la pregunta 134,1
535,134,C,Opción C de la pregunta 134,0
536,134,D,Opción D de la pregunta 134,0
537,135,A,Opción A de la pregunta 135,0
538,135,B,Opción B de la pregunta 135,0
539,135,C,Opción C de la pregunta 135,0
540,135,D,Opción D de la pregunta 135,1
541,136,A,Opción A de la pregunta 136,1
542,136,B,Opción B de la pregunta 136,0
543,136,C,Opción C de la pregunta 136,0
544,136,D,Opción D de la pregunta 136,0
545,137,A,Opción A de la pregunta 137,0
546,137,B,Opción B de la pregunta 137,0
547,137,C,Opción C de la pregunta 137,0
548,137,D,Opción D de la pregunta 137,1
549,138,A,Opción A de la pregunta 138,0
550,138,B,Opción B de la pregunta 138,0
551,138,C,Opción C de la pregunta 138,1
552,138,D,Opción D de la pregunta 138,0
553,139,A,Opción A de la pregunta 139,0
554,139,B,Opción B de la pregunta 139,0
555,139,C,Opción C de la pregunta 139,1
556,139,D,Opción D de la pregunta 139,0
557,140,A,Opción A de la pregunta 140,0
558,140,B,Opción B de la pregunta 140,0
559,140,C,Opción C de la pregunta 140,1
560,140,D,Opción D de la pregunta 140,0
561,141,A,Opción A de la pregunta 141,0
562,141,B,Opción B de la pregunta 141,1
563,141,C,Opción C de la pregunta 141,0
564,141,D,Opción D de la pregunta 141,0
565,142,A,Opción A de la pregunta 142,0
566,142,B,Opción B de la pregunta 142,0
567,142,C,Opción C de la pregunta 142,0
568,142,D,Opción D de la pregunta 142,1
569,143,A,Opción A de la pregunta 143,0
570,143,B,Opción B de la pregunta 143,1
571,143,C,Opción C de la pregunta 143,0
572,143,D,Opción D de la pregunta 143,0
573,144,A,Opción A de la pregunta 144,0
574,144,B,Opción B de la pregunta 144,0
575,144,C,Opción C de la pregunta 144,0
576,144,D,Opción D de la pregunta 144,1
577,145,A,Opción A de la pregunta 145,0
578,145,B,Opción B de la pregunta 145,0
579,145,C,Opción C de la pregunta 145,0
580,145,D,Opción D de la pregunta 145,1
581,146,A,Opción A de la pregunta 146,0
582,146,B,Opción B de la pregunta 146,1
583,146,C,Opción C de la pregunta 146,0
584,146,D,Opción D de la pregunta 146,0
585,147,A,Opción A de la pregunta 147,0
586,147,B,Opción B de la pregunta 147,0
587,147,C,Opción C de la pregunta 147,1
588,147,D,Opción D de la pregunta 147,0
589,148,A,Opción A de la pregunta 148,1
590,148,B,Opción B de la pregunta 148,0
591,148,C,Opción C de la pregunta 148,0
592,148,D,Opción D de la pregunta 148,0
593,149,A,Opción A de la pregunta 149,0
594,149,B,Opción B de la pregunta 149,0
595,149,C,Opción C de la pregunta 149,0
596,149,D,Opción D de la pregunta 149,1
597,150,A,Opción A de la pregunta 150,0
598,150,B,Opción B de la pregunta 150,0
599,150,C,Opción C de la pregunta 150,1
600,150,D,Opción D de la pregunta 150,0
601,151,A,Opción A de la pregunta 151,0
602,151,B,Opción B de la pregunta 151,0
603,151,C,Opción C de la pregunta 151,1
604,151,D,Opción D de la pregunta 151,0
605,152,A,Opción A de la pregunta 152,0
606,152,B,Opción B de la pregunta 152,0
607,152,C,Opción C de la pregunta 152,0
608,152,D,Opción D de la pregunta 152,1
609,153,A,Opción A de la pregunta 153,1
610,153,B,Opción B de la pregunta 153,0
611,153,C,Opción C de la pregunta 153,0
612,153,D,Opción D de la pregunta 153,0
613,154,A,Opción A de la pregunta 154,1
614,154,B,Opción B de la pregunta 154,0
615,154,C,Opción C de la pregunta 154,0
616,154,D,Opción D de la pregunta 154,0
617,155,A,Opción A de la pregunta 155,0
618,155,B,Opción B de la pregunta 155,0
619,155,C,Opción C de la pregunta 155,0
620,155,D,Opción D de la pregunta 155,1
621,156,A,Opción A de la pregunta 156,0
622,156,B,Opción B de la pregunta 156,1
623,156,C,Opción C de la pregunta 156,0
624,156,D,Opción D de la pregunta 156,0
625,157,A,Opción A de la pregunta 157,1
626,157,B,Opción B de la pregunta 157,0
627,157,C,Opción C de la pregunta 157,0
628,157,D,Opción D de la pregunta 157,0
629,158,A,Opción A de la pregunta 158,0
630,158,B,Opción B de la pregunta 158,1
631,158,C,Opción C de la pregunta 158,0
632,158,D,Opción D de la pregunta 158,0
633,159,A,Opción A de la pregunta 159,1
634,159,B,Opción B de la pregunta 159,0
635,159,C,Opción C de la pregunta 159,0
636,159,D,Opción D de la pregunta 159,0
637,160,A,Opción A de la pregunta 160,0
638,160,B,Opción B de la pregunta 160,0
639,160,C,Opción C de la pregunta 160,0
640,160,D,Opción D de la pregunta 160,1
641,161,A,Opción A de la pregunta 161,1
642,161,B,Opción B de la pregunta 161,0
643,161,C,Opción C de la pregunta 161,0
644,161,D,Opción D de la pregunta 161,0
645,162,A,Opción A de la pregunta 162,0
646,162,B,Opción B de la pregunta 162,1
647,162,C,Opción C de la pregunta 162,0
648,162,D,Opción D de la pregunta 162,0
649,163,A,Opción A de la pregunta 163,0
650,163,B,Opción B de la pregunta 163,1
651,163,C,Opción C de la pregunta 163,0
652,163,D,Opción D de la pregunta 163,0
653,164,A,Opción A de la pregunta 164,0
654,164,B,Opción B de la pregunta 164,0
655,164,C,Opción C de la pregunta 164,0
656,164,D,Opción D de la pregunta 164,1
657,165,A,Opción A de la pregunta 165,0
658,165,B,Opción B de la pregunta 165,0
659,165,C,Opción C de la pregunta 165,1
660,165,D,Opción D de la pregunta 165,0
661,166,A,Opción A de la pregunta 166,0
662,166,B,Opción B de la pregunta 166,0
663,166,C,Opción C de la pregunta 166,1
664,166,D,Opción D de la pregunta 166,0
