componente,modulo,grupo_referencia,tipo_prueba,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,correcta,puntaje
Comunicación Escrita,Educación,GRP-15,Genérica,Enunciado de la pregunta 35 del componente Comunicación Escrita y módulo Educación.,Opción A de la pregunta 35,Opción B de la pregunta 35,Opción C de la pregunta 35,Opción D de la pregunta 35,D,1.0
Lectura Crítica,Ciencias Sociales,GRP-36,Genérica,Enunciado de la pregunta 36 del componente Lectura Crítica y módulo Ciencias Sociales.,Opción A de la pregunta 36,Opción B de la pregunta 36,Opción C de la pregunta 36,Opción D de la pregunta 36,B,1.0
Inglés,Educación,GRP-7,Específica,Enunciado de la pregunta 37 del componente Inglés y módulo Educación.,Opción A de la pregunta 37,Opción B de la pregunta 37,Opción C de la pregunta 37,Opción D de la pregunta 37,C,1.0
Inglés,Educación,GRP-8,Genérica,Enunciado de la pregunta 38 del componente Inglés y módulo Educación.,Opción A de la pregunta 38,Opción B de la pregunta 38,Opción C de la pregunta 38,Opción D de la pregunta 38,C,1.0
Competencias Ciudadanas,Educación,GRP-8,Específica,Enunciado de la pregunta 39 del componente Competencias Ciudadanas y módulo Educación.,Opción A de la pregunta 39,Opción B de la pregunta 39,Opción C de la pregunta 39,Opción D de la pregunta 39,C,1.0
Razonamiento Cuantitativo,Ingeniería,GRP-36,Específica,Enunciado de la pregunta 40 del componente Razonamiento Cuantitativo y módulo Ingeniería.,Opción A de la pregunta 40,Opción B de la pregunta 40,Opción C de la pregunta 40,Opción D de la pregunta 40,A,1.0
Inglés,Arquitectura,GRP-28,Genérica,Enunciado de la pregunta 41 del componente Inglés y módulo Arquitectura.,Opción A de la pregunta 41,Opción B de la pregunta 41,Opción C de la pregunta 41,Opción D de la pregunta 41,D,1.0
Razonamiento Cuantitativo,Ciencias Sociales,GRP-31,Específica,Enunciado de la pregunta 42 del componente Razonamiento Cuantitativo y módulo Ciencias Sociales.,Opción A de la pregunta 42,Opción B de la pregunta 42,Opción C de la pregunta 42,Opción D de la pregunta 42,D,1.0
Comunicación Escrita,Administración,GRP-4,Genérica,Enunciado de la pregunta 43 del componente Comunicación Escrita y módulo Administración.,Opción A de la pregunta 43,Opción B de la pregunta 43,Opción C de la pregunta 43,Opción D de la pregunta 43,A,1.0
Lectura Crítica,Ciencias Sociales,GRP-15,Específica,Enunciado de la pregunta 44 del componente Lectura Crítica y módulo Ciencias Sociales.,Opción A de la pregunta 44,Opción B de la pregunta 44,Opción C de la pregunta 44,Opción D de la pregunta 44,D,1.0
Competencias Ciudadanas,Salud,GRP-30,Genérica,Enunciado de la pregunta 45 del componente Competencias Ciudadanas y módulo Salud.,Opción A de la pregunta 45,Opción B de la pregunta 45,Opción C de la pregunta 45,Opción D de la pregunta 45,D,1.0
Lectura Crítica,Ciencias Sociales,GRP-46,Específica,Enunciado de la pregunta 46 del componente Lectura Crítica y módulo Ciencias Sociales.,Opción A de la pregunta 46,Opción B de la pregunta 46,Opción C de la pregunta 46,Opción D de la pregunta 46,D,1.0
Competencias Ciudadanas,Economía,GRP-43,Genérica,Enunciado de la pregunta 47 del componente Competencias Ciudadanas y módulo Economía.,Opción A de la pregunta 47,Opción B de la pregunta 47,Opción C de la pregunta 47,Opción D de la pregunta 47,D,1.0
Competencias Ciudadanas,Administración,GRP-23,Específica,Enunciado de la pregunta 48 del componente Competencias Ciudadanas y módulo Administración.,Opción A de la pregunta 48,Opción B de la pregunta 48,Opción C de la pregunta 48,Opción D de la pregunta 48,D,1.0
Competencias Ciudadanas,Economía,GRP-7,Específica,Enunciado de la pregunta 49 del componente Competencias Ciudadanas y módulo Economía.,Opción A de la pregunta 49,Opción B de la pregunta 49,Opción C de la pregunta 49,Opción D de la pregunta 49,A,1.0
Competencias Ciudadanas,Ciencias Sociales,GRP-7,Genérica,Enunciado de la pregunta 50 del componente Competencias Ciudadanas y módulo Ciencias Sociales.,Opción A de la pregunta 50,Opción B de la pregunta 50,Opción C de la pregunta 50,Opción D de la pregunta 50,D,1.0
Lectura Crítica,Derecho,GRP-40,Genérica,Enunciado de la pregunta 51 del componente Lectura Crítica y módulo Derecho.,Opción A de la pregunta 51,Opción B de la pregunta 51,Opción C de la pregunta 51,Opción D de la pregunta 51,A,1.0
Inglés,Economía,GRP-34,Específica,Enunciado de la pregunta 52 del componente Inglés y módulo Economía.,Opción A de la pregunta 52,Opción B de la pregunta 52,Opción C de la pregunta 52,Opción D de la pregunta 52,C,1.0
Lectura Crítica,Arquitectura,GRP-46,Específica,Enunciado de la pregunta 53 del componente Lectura Crítica y módulo Arquitectura.,Opción A de la pregunta 53,Opción B de la pregunta 53,Opción C de la pregunta 53,Opción D de la pregunta 53,D,1.0
Lectura Crítica,Economía,GRP-2,Genérica,Enunciado de la pregunta 54 del componente Lectura Crítica y módulo Economía.,Opción A de la pregunta 54,Opción B de la pregunta 54,Opción C de la pregunta 54,Opción D de la pregunta 54,B,1.0
Competencias Ciudadanas,Ciencias Sociales,GRP-15,Genérica,Enunciado de la pregunta 55 del componente Competencias Ciudadanas y módulo Ciencias Sociales.,Opción A de la pregunta 55,Opción B de la pregunta 55,Opción C de la pregunta 55,Opción D de la pregunta 55,B,1.0
Inglés,Ingeniería,GRP-37,Específica,Enunciado de la pregunta 56 del componente Inglés y módulo Ingeniería.,Opción A de la pregunta 56,Opción B de la pregunta 56,Opción C de la pregunta 56,Opción D de la pregunta 56,D,1.0
Comunicación Escrita,Ciencias Sociales,GRP-37,Específica,Enunciado de la pregunta 57 del componente Comunicación Escrita y módulo Ciencias Sociales.,Opción A de la pregunta 57,Opción B de la pregunta 57,Opción C de la pregunta 57,Opción D de la pregunta 57,B,1.0
Razonamiento Cuantitativo,Arquitectura,GRP-32,Específica,Enunciado de la pregunta 58 del componente Razonamiento Cuantitativo y módulo Arquitectura.,Opción A de la pregunta 58,Opción B de la pregunta 58,Opción C de la pregunta 58,Opción D de la pregunta 58,A,1.0
Comunicación Escrita,Arquitectura,GRP-27,Específica,Enunciado de la pregunta 59 del componente Comunicación Escrita y módulo Arquitectura.,Opción A de la pregunta 59,Opción B de la pregunta 59,Opción C de la pregunta 59,Opción D de la pregunta 59,D,1.0
Inglés,Ciencias Sociales,GRP-6,Genérica,Enunciado de la pregunta 60 del componente Inglés y módulo Ciencias Sociales.,Opción A de la pregunta 60,Opción B de la pregunta 60,Opción C de la pregunta 60,Opción D de la pregunta 60,D,1.0
Inglés,Ciencias Sociales,GRP-25,Específica,Enunciado de la pregunta 61 del componente Inglés y módulo Ciencias Sociales.,Opción A de la pregunta 61,Opción B de la pregunta 61,Opción C de la pregunta 61,Opción D de la pregunta 61,D,1.0
Inglés,Ciencias Sociales,GRP-6,Específica,Enunciado de la pregunta 62 del componente Inglés y módulo Ciencias Sociales.,Opción A de la pregunta 62,Opción B de la pregunta 62,Opción C de la pregunta 62,Opción D de la pregunta 62,D,1.0
Lectura Crítica,Arquitectura,GRP-3,Específica,Enunciado de la pregunta 63 del componente Lectura Crítica y módulo Arquitectura.,Opción A de la pregunta 63,Opción B de la pregunta 63,Opción C de la pregunta 63,Opción D de la pregunta 63,A,1.0
Inglés,Educación,GRP-29,Específica,Enunciado de la pregunta 64 del componente Inglés y módulo Educación.,Opción A de la pregunta 64,Opción B de la pregunta 64,Opción C de la pregunta 64,Opción D de la pregunta 64,C,1.0
Inglés,Economía,GRP-12,Específica,Enunciado de la pregunta 65 del componente Inglés y módulo Economía.,Opción A de la pregunta 65,Opción B de la pregunta 65,Opción C de la pregunta 65,Opción D de la pregunta 65,C,1.0
Inglés,Salud,GRP-48,Genérica,Enunciado de la pregunta 66 del componente Inglés y módulo Salud.,Opción A de la pregunta 66,Opción B de la pregunta 66,Opción C de la pregunta 66,Opción D de la pregunta 66,A,1.0
Competencias Ciudadanas,Economía,GRP-2,Genérica,Enunciado de la pregunta 67 del componente Competencias Ciudadanas y módulo Economía.,Opción A de la pregunta 67,Opción B de la pregunta 67,Opción C de la pregunta 67,Opción D de la pregunta 67,B,1.0
Razonamiento Cuantitativo,Economía,GRP-38,Genérica,Enunciado de la pregunta 68 del componente Razonamiento Cuantitativo y módulo Economía.,Opción A de la pregunta 68,Opción B de la pregunta 68,Opción C de la pregunta 68,Opción D de la pregunta 68,A,1.0
Inglés,Economía,GRP-29,Específica,Enunciado de la pregunta 69 del componente Inglés y módulo Economía.,Opción A de la pregunta 69,Opción B de la pregunta 69,Opción C de la pregunta 69,Opción D de la pregunta 69,C,1.0
Comunicación Escrita,Ciencias Sociales,GRP-50,Genérica,Enunciado de la pregunta 70 del componente Comunicación Escrita y módulo Ciencias Sociales.,Opción A de la pregunta 70,Opción B de la pregunta 70,Opción C de la pregunta 70,Opción D de la pregunta 70,A,1.0
Razonamiento Cuantitativo,Economía,GRP-11,Específica,Enunciado de la pregunta 71 del componente Razonamiento Cuantitativo y módulo Economía.,Opción A de la pregunta 71,Opción B de la pregunta 71,Opción C de la pregunta 71,Opción D de la pregunta 71,A,1.0
Inglés,Salud,GRP-12,Genérica,Enunciado de la pregunta 72 del componente Inglés y módulo Salud.,Opción A de la pregunta 72,Opción B de la pregunta 72,Opción C de la pregunta 72,Opción D de la pregunta 72,D,1.0
Lectura Crítica,Derecho,GRP-41,Específica,Enunciado de la pregunta 73 del componente Lectura Crítica y módulo Derecho.,Opción A de la pregunta 73,Opción B de la pregunta 73,Opción C de la pregunta 73,Opción D de la pregunta 73,B,1.0
Comunicación Escrita,Arquitectura,GRP-13,Genérica,Enunciado de la pregunta 74 del componente Comunicación Escrita y módulo Arquitectura.,Opción A de la pregunta 74,Opción B de la pregunta 74,Opción C de la pregunta 74,Opción D de la pregunta 74,D,1.0
Lectura Crítica,Economía,GRP-48,Genérica,Enunciado de la pregunta 75 del componente Lectura Crítica y módulo Economía.,Opción A de la pregunta 75,Opción B de la pregunta 75,Opción C de la pregunta 75,Opción D de la pregunta 75,C,1.0
Lectura Crítica,Salud,GRP-37,Específica,Enunciado de la pregunta 76 del componente Lectura Crítica y módulo Salud.,Opción A de la pregunta 76,Opción B de la pregunta 76,Opción C de la pregunta 76,Opción D de la pregunta 76,B,1.0
Competencias Ciudadanas,Administración,GRP-25,Específica,Enunciado de la pregunta 77 del componente Competencias Ciudadanas y módulo Administración.,Opción A de la pregunta 77,Opción B de la pregunta 77,Opción C de la pregunta 77,Opción D de la pregunta 77,A,1.0
Razonamiento Cuantitativo,Ciencias Sociales,GRP-39,Específica,Enunciado de la pregunta 78 del componente Razonamiento Cuantitativo y módulo Ciencias Sociales.,Opción A de la pregunta 78,Opción B de la pregunta 78,Opción C de la pregunta 78,Opción D de la pregunta 78,B,1.0
Comunicación Escrita,Ingeniería,GRP-15,Genérica,Enunciado de la pregunta 79 del componente Comunicación Escrita y módulo Ingeniería.,Opción A de la pregunta 79,Opción B de la pregunta 79,Opción C de la pregunta 79,Opción D de la pregunta 79,D,1.0
Lectura Crítica,Arquitectura,GRP-17,Específica,Enunciado de la pregunta 80 del componente Lectura Crítica y módulo Arquitectura.,Opción A de la pregunta 80,Opción B de la pregunta 80,Opción C de la pregunta 80,Opción D de la pregunta 80,D,1.0
Razonamiento Cuantitativo,Educación,GRP-26,Específica,Enunciado de la pregunta 81 del componente Razonamiento Cuantitativo y módulo Educación.,Opción A de la pregunta 81,Opción B de la pregunta 81,Opción C de la pregunta 81,Opción D de la pregunta 81,D,1.0
Razonamiento Cuantitativo,Derecho,GRP-1,Específica,Enunciado de la pregunta 82 del componente Razonamiento Cuantitativo y módulo Derecho.,Opción A de la pregunta 82,Opción B de la pregunta 82,Opción C de la pregunta 82,Opción D de la pregunta 82,D,1.0
Comunicación Escrita,Administración,GRP-37,Genérica,Enunciado de la pregunta 83 del componente Comunicación Escrita y módulo Administración.,Opción A de la pregunta 83,Opción B de la pregunta 83,Opción C de la pregunta 83,Opción D de la pregunta 83,A,1.0
Razonamiento Cuantitativo,Educación,GRP-25,Genérica,Enunciado de la pregunta 84 del componente Razonamiento Cuantitativo y módulo Educación.,Opción A de la pregunta 84,Opción B de la pregunta 84,Opción C de la pregunta 84,Opción D de la pregunta 84,C,1.0
Inglés,Ciencias Sociales,GRP-49,Genérica,Enunciado de la pregunta 85 del componente Inglés y módulo Ciencias Sociales.,Opción A de la pregunta 85,Opción B de la pregunta 85,Opción C de la pregunta 85,Opción D de la pregunta 85,D,1.0
Lectura Crítica,Salud,GRP-3,Específica,Enunciado de la pregunta 86 del componente Lectura Crítica y módulo Salud.,Opción A de la pregunta 86,Opción B de la pregunta 86,Opción C de la pregunta 86,Opción D de la pregunta 86,A,1.0
Razonamiento Cuantitativo,Administración,GRP-48,Específica,Enunciado de la pregunta 87 del componente Razonamiento Cuantitativo y módulo Administración.,Opción A de la pregunta 87,Opción B de la pregunta 87,Opción C de la pregunta 87,Opción D de la pregunta 87,D,1.0
Comunicación Escrita,Ingeniería,GRP-13,Específica,Enunciado de la pregunta 88 del componente Comunicación Escrita y módulo Ingeniería.,Opción A de la pregunta 88,Opción B de la pregunta 88,Opción C de la pregunta 88,Opción D de la pregunta 88,D,1.0
Lectura Crítica,Administración,GRP-32,Genérica,Enunciado de la pregunta 89 del componente Lectura Crítica y módulo Administración.,Opción A de la pregunta 89,Opción B de la pregunta 89,Opción C de la pregunta 89,Opción D de la pregunta 89,C,1.0
Inglés,Arquitectura,GRP-42,Específica,Enunciado de la pregunta 90 del componente Inglés y módulo Arquitectura.,Opción A de la pregunta 90,Opción B de la pregunta 90,Opción C de la pregunta 90,Opción D de la pregunta 90,B,1.0
Lectura Crítica,Arquitectura,GRP-33,Específica,Enunciado de la pregunta 91 del componente Lectura Crítica y módulo Arquitectura.,Opción A de la pregunta 91,Opción B de la pregunta 91,Opción C de la pregunta 91,Opción D de la pregunta 91,C,1.0
Inglés,Derecho,GRP-5,Específica,Enunciado de la pregunta 92 del componente Inglés y módulo Derecho.,Opción A de la pregunta 92,Opción B de la pregunta 92,Opción C de la pregunta 92,Opción D de la pregunta 92,B,1.0
Inglés,Economía,GRP-42,Específica,Enunciado de la pregunta 93 del componente Inglés y módulo Economía.,Opción A de la pregunta 93,Opción B de la pregunta 93,Opción C de la pregunta 93,Opción D de la pregunta 93,B,1.0
Inglés,Derecho,GRP-20,Específica,Enunciado de la pregunta 94 del componente Inglés y módulo Derecho.,Opción A de la pregunta 94,Opción B de la pregunta 94,Opción C de la pregunta 94,Opción D de la pregunta 94,C,1.0
Comunicación Escrita,Ciencias Sociales,GRP-19,Genérica,Enunciado de la pregunta 95 del componente Comunicación Escrita y módulo Ciencias Sociales.,Opción A de la pregunta 95,Opción B de la pregunta 95,Opción C de la pregunta 95,Opción D de la pregunta 95,B,1.0
Lectura Crítica,Economía,GRP-40,Genérica,Enunciado de la pregunta 96 del componente Lectura Crítica y módulo Economía.,Opción A de la pregunta 96,Opción B de la pregunta 96,Opción C de la pregunta 96,Opción D de la pregunta 96,D,1.0
Comunicación Escrita,Ingeniería,GRP-23,Específica,Enunciado de la pregunta 97 del componente Comunicación Escrita y módulo Ingeniería.,Opción A de la pregunta 97,Opción B de la pregunta 97,Opción C de la pregunta 97,Opción D de la pregunta 97,D,1.0
Inglés,Derecho,GRP-48,Genérica,Enunciado de la pregunta 98 del componente Inglés y módulo Derecho.,Opción A de la pregunta 98,Opción B de la pregunta 98,Opción C de la pregunta 98,Opción D de la pregunta 98,C,1.0
Comunicación Escrita,Ciencias Sociales,GRP-48,Genérica,Enunciado de la pregunta 99 del componente Comunicación Escrita y módulo Ciencias Sociales.,Opción A de la pregunta 99,Opción B de la pregunta 99,Opción C de la pregunta 99,Opción D de la pregunta 99,C,1.0
Inglés,Educación,GRP-45,Específica,Enunciado de la pregunta 100 del componente Inglés y módulo Educación.,Opción A de la pregunta 100,Opción B de la pregunta 100,Opción C de la pregunta 100,Opción D de la pregunta 100,D,1.0
Competencias Ciudadanas,Ciencias Sociales,GRP-14,Específica,Enunciado de la pregunta 101 del componente Competencias Ciudadanas y módulo Ciencias Sociales.,Opción A de la pregunta 101,Opción B de la pregunta 101,Opción C de la pregunta 101,Opción D de la pregunta 101,B,1.0
Competencias Ciudadanas,Salud,GRP-11,Específica,Enunciado de la pregunta 102 del componente Competencias Ciudadanas y módulo Salud.,Opción A de la pregunta 102,Opción B de la pregunta 102,Opción C de la pregunta 102,Opción D de la pregunta 102,A,1.0
Inglés,Arquitectura,GRP-5,Genérica,Enunciado de la pregunta 103 del componente Inglés y módulo Arquitectura.,Opción A de la pregunta 103,Opción B de la pregunta 103,Opción C de la pregunta 103,Opción D de la pregunta 103,B,1.0
Inglés,Derecho,GRP-18,Específica,Enunciado de la pregunta 104 del componente Inglés y módulo Derecho.,Opción A de la pregunta 104,Opción B de la pregunta 104,Opción C de la pregunta 104,Opción D de la pregunta 104,A,1.0
Comunicación Escrita,Ciencias Sociales,GRP-12,Genérica,Enunciado de la pregunta 105 del componente Comunicación Escrita y módulo Ciencias Sociales.,Opción A de la pregunta 105,Opción B de la pregunta 105,Opción C de la pregunta 105,Opción D de la pregunta 105,A,1.0
Competencias Ciudadanas,Derecho,GRP-32,Genérica,Enunciado de la pregunta 106 del componente Competencias Ciudadanas y módulo Derecho.,Opción A de la pregunta 106,Opción B de la pregunta 106,Opción C de la pregunta 106,Opción D de la pregunta 106,C,1.0
Competencias Ciudadanas,Administración,GRP-15,Genérica,Enunciado de la pregunta 107 del componente Competencias Ciudadanas y módulo Administración.,Opción A de la pregunta 107,Opción B de la pregunta 107,Opción C de la pregunta 107,Opción D de la pregunta 107,B,1.0
Comunicación Escrita,Arquitectura,GRP-37,Genérica,Enunciado de la pregunta 108 del componente Comunicación Escrita y módulo Arquitectura.,Opción A de la pregunta 108,Opción B de la pregunta 108,Opción C de la pregunta 108,Opción D de la pregunta 108,D,1.0
Comunicación Escrita,Salud,GRP-23,Específica,Enunciado de la pregunta 109 del componente Comunicación Escrita y módulo Salud.,Opción A de la pregunta 109,Opción B de la pregunta 109,Opción C de la pregunta 109,Opción D de la pregunta 109,D,1.0
Lectura Crítica,Ciencias Sociales,GRP-18,Genérica,Enunciado de la pregunta 110 del componente Lectura Crítica y módulo Ciencias Sociales.,Opción A de la pregunta 110,Opción B de la pregunta 110,Opción C de la pregunta 110,Opción D de la pregunta 110,B,1.0
Lectura Crítica,Educación,GRP-12,Específica,Enunciado de la pregunta 111 del componente Lectura Crítica y módulo Educación.,Opción A de la pregunta 111,Opción B de la pregunta 111,Opción C de la pregunta 111,Opción D de la pregunta 111,D,1.0
Competencias Ciudadanas,Derecho,GRP-7,Genérica,Enunciado de la pregunta 112 del componente Competencias Ciudadanas y módulo Derecho.,Opción A de la pregunta 112,Opción B de la pregunta 112,Opción C de la pregunta 112,Opción D de la pregunta 112,A,1.0
Lectura Crítica,Ingeniería,GRP-11,Específica,Enunciado de la pregunta 113 del componente Lectura Crítica y módulo Ingeniería.,Opción A de la pregunta 113,Opción B de la pregunta 113,Opción C de la pregunta 113,Opción D de la pregunta 113,B,1.0
Razonamiento Cuantitativo,Educación,GRP-17,Específica,Enunciado de la pregunta 114 del componente Razonamiento Cuantitativo y módulo Educación.,Opción A de la pregunta 114,Opción B de la pregunta 114,Opción C de la pregunta 114,Opción D de la pregunta 114,A,1.0
Lectura Crítica,Economía,GRP-17,Genérica,Enunciado de la pregunta 115 del componente Lectura Crítica y módulo Economía.,Opción A de la pregunta 115,Opción B de la pregunta 115,Opción C de la pregunta 115,Opción D de la pregunta 115,C,1.0
