pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,grupo_referencia,modulo,tipo_prueba
"Pregunta 11: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 11,Opción B para pregunta 11,Opción C para pregunta 11,Opción D para pregunta 11,B,Razonamiento cuantitativo,Genérico,Genérica
"Pregunta 12: En el contexto de competencias ciudadanas, seleccione la opción correcta.",Opción A para pregunta 12,Opción B para pregunta 12,Opción C para pregunta 12,Opción D para pregunta 12,B,Competencias ciudadanas,Educación,Específica
"Pregunta 13: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 13,Opción B para pregunta 13,Opción C para pregunta 13,Opción D para pregunta 13,B,Lectura crítica,Genérico,Genérica
"Pregunta 14: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 14,Opción B para pregunta 14,Opción C para pregunta 14,Opción D para pregunta 14,B,Inglés,Ciencias sociales,Específica
"Pregunta 15: En el contexto de competencias ciudadanas, seleccione la opción correcta.",Opción A para pregunta 15,Opción B para pregunta 15,Opción C para pregunta 15,Opción D para pregunta 15,B,Competencias ciudadanas,Genérico,Genérica
"Pregunta 16: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 16,Opción B para pregunta 16,Opción C para pregunta 16,Opción D para pregunta 16,B,Lectura crítica,Genérico,Genérica
"Pregunta 17: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 17,Opción B para pregunta 17,Opción C para pregunta 17,Opción D para pregunta 17,B,Comunicación escrita,Genérico,Genérica
"Pregunta 18: En el contexto de competencias ciudadanas, seleccione la opción correcta.",Opción A para pregunta 18,Opción B para pregunta 18,Opción C para pregunta 18,Opción D para pregunta 18,D,Competencias ciudadanas,Ciencias sociales,Específica
"Pregunta 19: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 19,Opción B para pregunta 19,Opción C para pregunta 19,Opción D para pregunta 19,C,Razonamiento cuantitativo,Genérico,Genérica
"Pregunta 20: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 20,Opción B para pregunta 20,Opción C para pregunta 20,Opción D para pregunta 20,B,Comunicación escrita,Educación,Específica
"Pregunta 21: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 21,Opción B para pregunta 21,Opción C para pregunta 21,Opción D para pregunta 21,A,Razonamiento cuantitativo,Genérico,Genérica
"Pregunta 22: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 22,Opción B para pregunta 22,Opción C para pregunta 22,Opción D para pregunta 22,C,Razonamiento cuantitativo,Genérico,Genérica
"Pregunta 23: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 23,Opción B para pregunta 23,Opción C para pregunta 23,Opción D para pregunta 23,C,Razonamiento cuantitativo,Educación,Específica
"Pregunta 24: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 24,Opción B para pregunta 24,Opción C para pregunta 24,Opción D para pregunta 24,D,Comunicación escrita,Genérico,Genérica
"Pregunta 25: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 25,Opción B para pregunta 25,Opción C para pregunta 25,Opción D para pregunta 25,A,Razonamiento cuantitativo,Genérico,Genérica
"Pregunta 26: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 26,Opción B para pregunta 26,Opción C para pregunta 26,Opción D para pregunta 26,B,Inglés,Administración,Específica
"Pregunta 27: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 27,Opción B para pregunta 27,Opción C para pregunta 27,Opción D para pregunta 27,B,Comunicación escrita,Genérico,Genérica
"Pregunta 28: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 28,Opción B para pregunta 28,Opción C para pregunta 28,Opción D para pregunta 28,C,Inglés,Genérico,Genérica
"Pregunta 29: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 29,Opción B para pregunta 29,Opción C para pregunta 29,Opción D para pregunta 29,D,Inglés,Administración,Específica
"Pregunta 30: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 30,Opción B para pregunta 30,Opción C para pregunta 30,Opción D para pregunta 30,A,Razonamiento cuantitativo,Administración,Específica
"Pregunta 31: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 31,Opción B para pregunta 31,Opción C para pregunta 31,Opción D para pregunta 31,B,Razonamiento cuantitativo,Genérico,Genérica
"Pregunta 32: En el contexto de competencias ciudadanas, seleccione la opción correcta.",Opción A para pregunta 32,Opción B para pregunta 32,Opción C para pregunta 32,Opción D para pregunta 32,B,Competencias ciudadanas,Genérico,Genérica
"Pregunta 33: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 33,Opción B para pregunta 33,Opción C para pregunta 33,Opción D para pregunta 33,D,Razonamiento cuantitativo,Genérico,Genérica
"Pregunta 34: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 34,Opción B para pregunta 34,Opción C para pregunta 34,Opción D para pregunta 34,D,Lectura crítica,Ingeniería,Específica
"Pregunta 35: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 35,Opción B para pregunta 35,Opción C para pregunta 35,Opción D para pregunta 35,B,Inglés,Genérico,Genérica
"Pregunta 36: En el contexto de competencias ciudadanas, seleccione la opción correcta.",Opción A para pregunta 36,Opción B para pregunta 36,Opción C para pregunta 36,Opción D para pregunta 36,A,Competencias ciudadanas,Genérico,Genérica
"Pregunta 37: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 37,Opción B para pregunta 37,Opción C para pregunta 37,Opción D para pregunta 37,B,Inglés,Genérico,Genérica
"Pregunta 38: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 38,Opción B para pregunta 38,Opción C para pregunta 38,Opción D para pregunta 38,C,Lectura crítica,Genérico,Genérica
"Pregunta 39: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 39,Opción B para pregunta 39,Opción C para pregunta 39,Opción D para pregunta 39,C,Razonamiento cuantitativo,Ciencias sociales,Específica
"Pregunta 40: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 40,Opción B para pregunta 40,Opción C para pregunta 40,Opción D para pregunta 40,B,Comunicación escrita,Educación,Específica
"Pregunta 41: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 41,Opción B para pregunta 41,Opción C para pregunta 41,Opción D para pregunta 41,C,Lectura crítica,Genérico,Genérica
"Pregunta 42: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 42,Opción B para pregunta 42,Opción C para pregunta 42,Opción D para pregunta 42,D,Inglés,Ciencias sociales,Específica
"Pregunta 43: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 43,Opción B para pregunta 43,Opción C para pregunta 43,Opción D para pregunta 43,C,Lectura crítica,Salud,Específica
"Pregunta 44: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 44,Opción B para pregunta 44,Opción C para pregunta 44,Opción D para pregunta 44,D,Comunicación escrita,Ciencias sociales,Específica
"Pregunta 45: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 45,Opción B para pregunta 45,Opción C para pregunta 45,Opción D para pregunta 45,B,Comunicación escrita,Educación,Específica
"Pregunta 46: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 46,Opción B para pregunta 46,Opción C para pregunta 46,Opción D para pregunta 46,D,Inglés,Genérico,Genérica
"Pregunta 47: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 47,Opción B para pregunta 47,Opción C para pregunta 47,Opción D para pregunta 47,B,Comunicación escrita,Administración,Específica
"Pregunta 48: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 48,Opción B para pregunta 48,Opción C para pregunta 48,Opción D para pregunta 48,B,Comunicación escrita,Genérico,Genérica
"Pregunta 49: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 49,Opción B para pregunta 49,Opción C para pregunta 49,Opción D para pregunta 49,D,Lectura crítica,Genérico,Genérica
"Pregunta 50: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 50,Opción B para pregunta 50,Opción C para pregunta 50,Opción D para pregunta 50,C,Inglés,Salud,Específica
"Pregunta 51: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 51,Opción B para pregunta 51,Opción C para pregunta 51,Opción D para pregunta 51,B,Inglés,Salud,Específica
"Pregunta 52: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 52,Opción B para pregunta 52,Opción C para pregunta 52,Opción D para pregunta 52,B,Lectura crítica,Genérico,Genérica
"Pregunta 53: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 53,Opción B para pregunta 53,Opción C para pregunta 53,Opción D para pregunta 53,B,Lectura crítica,Administración,Específica
"Pregunta 54: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 54,Opción B para pregunta 54,Opción C para pregunta 54,Opción D para pregunta 54,A,Lectura crítica,Genérico,Genérica
"Pregunta 55: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 55,Opción B para pregunta 55,Opción C para pregunta 55,Opción D para pregunta 55,B,Inglés,Genérico,Genérica
"Pregunta 56: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 56,Opción B para pregunta 56,Opción C para pregunta 56,Opción D para pregunta 56,C,Comunicación escrita,Genérico,Genérica
"Pregunta 57: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 57,Opción B para pregunta 57,Opción C para pregunta 57,Opción D para pregunta 57,D,Inglés,Genérico,Genérica
"Pregunta 58: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 58,Opción B para pregunta 58,Opción C para pregunta 58,Opción D para pregunta 58,A,Lectura crítica,Genérico,Genérica
"Pregunta 59: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 59,Opción B para pregunta 59,Opción C para pregunta 59,Opción D para pregunta 59,D,Inglés,Genérico,Genérica
"Pregunta 60: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 60,Opción B para pregunta 60,Opción C para pregunta 60,Opción D para pregunta 60,D,Inglés,Genérico,Genérica
"Pregunta 61: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 61,Opción B para pregunta 61,Opción C para pregunta 61,Opción D para pregunta 61,C,Comunicación escrita,Salud,Específica
"Pregunta 62: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 62,Opción B para pregunta 62,Opción C para pregunta 62,Opción D para pregunta 62,C,Comunicación escrita,Salud,Específica
"Pregunta 63: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 63,Opción B para pregunta 63,Opción C para pregunta 63,Opción D para pregunta 63,D,Inglés,Ciencias sociales,Específica
"Pregunta 64: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 64,Opción B para pregunta 64,Opción C para pregunta 64,Opción D para pregunta 64,C,Razonamiento cuantitativo,Genérico,Genérica
"Pregunta 65: En el contexto de competencias ciudadanas, seleccione la opción correcta.",Opción A para pregunta 65,Opción B para pregunta 65,Opción C para pregunta 65,Opción D para pregunta 65,B,Competencias ciudadanas,Educación,Específica
"Pregunta 66: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 66,Opción B para pregunta 66,Opción C para pregunta 66,Opción D para pregunta 66,D,Razonamiento cuantitativo,Administración,Específica
"Pregunta 67: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 67,Opción B para pregunta 67,Opción C para pregunta 67,Opción D para pregunta 67,D,Lectura crítica,Ingeniería,Específica
"Pregunta 68: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 68,Opción B para pregunta 68,Opción C para pregunta 68,Opción D para pregunta 68,D,Lectura crítica,Genérico,Genérica
"Pregunta 69: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 69,Opción B para pregunta 69,Opción C para pregunta 69,Opción D para pregunta 69,C,Lectura crítica,Administración,Específica
"Pregunta 70: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 70,Opción B para pregunta 70,Opción C para pregunta 70,Opción D para pregunta 70,D,Inglés,Genérico,Genérica
"Pregunta 71: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 71,Opción B para pregunta 71,Opción C para pregunta 71,Opción D para pregunta 71,A,Razonamiento cuantitativo,Genérico,Genérica
"Pregunta 72: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 72,Opción B para pregunta 72,Opción C para pregunta 72,Opción D para pregunta 72,A,Inglés,Salud,Específica
"Pregunta 73: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 73,Opción B para pregunta 73,Opción C para pregunta 73,Opción D para pregunta 73,C,Inglés,Salud,Específica
"Pregunta 74: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 74,Opción B para pregunta 74,Opción C para pregunta 74,Opción D para pregunta 74,B,Inglés,Ciencias sociales,Específica
"Pregunta 75: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 75,Opción B para pregunta 75,Opción C para pregunta 75,Opción D para pregunta 75,C,Lectura crítica,Genérico,Genérica
"Pregunta 76: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 76,Opción B para pregunta 76,Opción C para pregunta 76,Opción D para pregunta 76,C,Lectura crítica,Ingeniería,Específica
"Pregunta 77: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 77,Opción B para pregunta 77,Opción C para pregunta 77,Opción D para pregunta 77,A,Comunicación escrita,Genérico,Genérica
"Pregunta 78: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 78,Opción B para pregunta 78,Opción C para pregunta 78,Opción D para pregunta 78,A,Inglés,Genérico,Genérica
"Pregunta 79: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 79,Opción B para pregunta 79,Opción C para pregunta 79,Opción D para pregunta 79,A,Lectura crítica,Genérico,Genérica
"Pregunta 80: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 80,Opción B para pregunta 80,Opción C para pregunta 80,Opción D para pregunta 80,D,Razonamiento cuantitativo,Genérico,Genérica
"Pregunta 81: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 81,Opción B para pregunta 81,Opción C para pregunta 81,Opción D para pregunta 81,A,Inglés,Salud,Específica
"Pregunta 82: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 82,Opción B para pregunta 82,Opción C para pregunta 82,Opción D para pregunta 82,A,Razonamiento cuantitativo,Genérico,Genérica
"Pregunta 83: En el contexto de competencias ciudadanas, seleccione la opción correcta.",Opción A para pregunta 83,Opción B para pregunta 83,Opción C para pregunta 83,Opción D para pregunta 83,A,Competencias ciudadanas,Ciencias sociales,Específica
"Pregunta 84: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 84,Opción B para pregunta 84,Opción C para pregunta 84,Opción D para pregunta 84,D,Comunicación escrita,Educación,Específica
"Pregunta 85: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 85,Opción B para pregunta 85,Opción C para pregunta 85,Opción D para pregunta 85,B,Razonamiento cuantitativo,Genérico,Genérica
"Pregunta 86: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 86,Opción B para pregunta 86,Opción C para pregunta 86,Opción D para pregunta 86,C,Comunicación escrita,Genérico,Genérica
"Pregunta 87: En el contexto de competencias ciudadanas, seleccione la opción correcta.",Opción A para pregunta 87,Opción B para pregunta 87,Opción C para pregunta 87,Opción D para pregunta 87,C,Competencias ciudadanas,Genérico,Genérica
"Pregunta 88: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 88,Opción B para pregunta 88,Opción C para pregunta 88,Opción D para pregunta 88,C,Inglés,Ciencias sociales,Específica
"Pregunta 89: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 89,Opción B para pregunta 89,Opción C para pregunta 89,Opción D para pregunta 89,A,Razonamiento cuantitativo,Genérico,Genérica
"Pregunta 90: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 90,Opción B para pregunta 90,Opción C para pregunta 90,Opción D para pregunta 90,B,Razonamiento cuantitativo,Ingeniería,Específica
"Pregunta 91: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 91,Opción B para pregunta 91,Opción C para pregunta 91,Opción D para pregunta 91,D,Comunicación escrita,Ciencias sociales,Específica
"Pregunta 92: En el contexto de competencias ciudadanas, seleccione la opción correcta.",Opción A para pregunta 92,Opción B para pregunta 92,Opción C para pregunta 92,Opción D para pregunta 92,D,Competencias ciudadanas,Genérico,Genérica
"Pregunta 93: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 93,Opción B para pregunta 93,Opción C para pregunta 93,Opción D para pregunta 93,D,Razonamiento cuantitativo,Genérico,Genérica
"Pregunta 94: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 94,Opción B para pregunta 94,Opción C para pregunta 94,Opción D para pregunta 94,A,Inglés,Salud,Específica
"Pregunta 95: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 95,Opción B para pregunta 95,Opción C para pregunta 95,Opción D para pregunta 95,D,Lectura crítica,Educación,Específica
"Pregunta 96: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 96,Opción B para pregunta 96,Opción C para pregunta 96,Opción D para pregunta 96,C,Inglés,Genérico,Genérica
"Pregunta 97: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 97,Opción B para pregunta 97,Opción C para pregunta 97,Opción D para pregunta 97,A,Razonamiento cuantitativo,Administración,Específica
"Pregunta 98: En el contexto de competencias ciudadanas, seleccione la opción correcta.",Opción A para pregunta 98,Opción B para pregunta 98,Opción C para pregunta 98,Opción D para pregunta 98,C,Competencias ciudadanas,Educación,Específica
"Pregunta 99: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 99,Opción B para pregunta 99,Opción C para pregunta 99,Opción D para pregunta 99,B,Inglés,Genérico,Genérica
"Pregunta 100: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 100,Opción B para pregunta 100,Opción C para pregunta 100,Opción D para pregunta 100,D,Comunicación escrita,Genérico,Genérica
"Pregunta 101: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 101,Opción B para pregunta 101,Opción C para pregunta 101,Opción D para pregunta 101,C,Comunicación escrita,Genérico,Genérica
"Pregunta 102: En el contexto de competencias ciudadanas, seleccione la opción correcta.",Opción A para pregunta 102,Opción B para pregunta 102,Opción C para pregunta 102,Opción D para pregunta 102,C,Competencias ciudadanas,Educación,Específica
"Pregunta 103: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 103,Opción B para pregunta 103,Opción C para pregunta 103,Opción D para pregunta 103,D,Comunicación escrita,Salud,Específica
"Pregunta 104: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 104,Opción B para pregunta 104,Opción C para pregunta 104,Opción D para pregunta 104,A,Lectura crítica,Genérico,Genérica
"Pregunta 105: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 105,Opción B para pregunta 105,Opción C para pregunta 105,Opción D para pregunta 105,C,Inglés,Administración,Específica
"Pregunta 106: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 106,Opción B para pregunta 106,Opción C para pregunta 106,Opción D para pregunta 106,C,Comunicación escrita,Genérico,Genérica
"Pregunta 107: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 107,Opción B para pregunta 107,Opción C para pregunta 107,Opción D para pregunta 107,A,Lectura crítica,Genérico,Genérica
"Pregunta 108: En el contexto de competencias ciudadanas, seleccione la opción correcta.",Opción A para pregunta 108,Opción B para pregunta 108,Opción C para pregunta 108,Opción D para pregunta 108,D,Competencias ciudadanas,Educación,Específica
"Pregunta 109: En el contexto de competencias ciudadanas, seleccione la opción correcta.",Opción A para pregunta 109,Opción B para pregunta 109,Opción C para pregunta 109,Opción D para pregunta 109,A,Competencias ciudadanas,Genérico,Genérica
"Pregunta 110: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 110,Opción B para pregunta 110,Opción C para pregunta 110,Opción D para pregunta 110,A,Inglés,Salud,Específica
"Pregunta 111: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 111,Opción B para pregunta 111,Opción C para pregunta 111,Opción D para pregunta 111,D,Inglés,Genérico,Genérica
"Pregunta 112: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 112,Opción B para pregunta 112,Opción C para pregunta 112,Opción D para pregunta 112,A,Comunicación escrita,Ingeniería,Específica
"Pregunta 113: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 113,Opción B para pregunta 113,Opción C para pregunta 113,Opción D para pregunta 113,A,Razonamiento cuantitativo,Genérico,Genérica
"Pregunta 114: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 114,Opción B para pregunta 114,Opción C para pregunta 114,Opción D para pregunta 114,D,Lectura crítica,Educación,Específica
"Pregunta 115: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 115,Opción B para pregunta 115,Opción C para pregunta 115,Opción D para pregunta 115,B,Inglés,Administración,Específica
"Pregunta 116: En el contexto de competencias ciudadanas, seleccione la opción correcta.",Opción A para pregunta 116,Opción B para pregunta 116,Opción C para pregunta 116,Opción D para pregunta 116,D,Competencias ciudadanas,Salud,Específica
"Pregunta 117: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 117,Opción B para pregunta 117,Opción C para pregunta 117,Opción D para pregunta 117,A,Inglés,Genérico,Genérica
"Pregunta 118: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 118,Opción B para pregunta 118,Opción C para pregunta 118,Opción D para pregunta 118,B,Inglés,Genérico,Genérica
"Pregunta 119: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 119,Opción B para pregunta 119,Opción C para pregunta 119,Opción D para pregunta 119,D,Lectura crítica,Genérico,Genérica
"Pregunta 120: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 120,Opción B para pregunta 120,Opción C para pregunta 120,Opción D para pregunta 120,B,Lectura crítica,Genérico,Genérica
"Pregunta 121: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 121,Opción B para pregunta 121,Opción C para pregunta 121,Opción D para pregunta 121,B,Inglés,Educación,Específica
"Pregunta 122: En el contexto de razonamiento cuantitativo, seleccione la opción correcta.",Opción A para pregunta 122,Opción B para pregunta 122,Opción C para pregunta 122,Opción D para pregunta 122,A,Razonamiento cuantitativo,Genérico,Genérica
"Pregunta 123: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 123,Opción B para pregunta 123,Opción C para pregunta 123,Opción D para pregunta 123,D,Comunicación escrita,Ciencias sociales,Específica
"Pregunta 124: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 124,Opción B para pregunta 124,Opción C para pregunta 124,Opción D para pregunta 124,C,Lectura crítica,Genérico,Genérica
"Pregunta 125: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 125,Opción B para pregunta 125,Opción C para pregunta 125,Opción D para pregunta 125,A,Comunicación escrita,Ingeniería,Específica
"Pregunta 126: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 126,Opción B para pregunta 126,Opción C para pregunta 126,Opción D para pregunta 126,B,Comunicación escrita,Genérico,Genérica
"Pregunta 127: En el contexto de lectura crítica, seleccione la opción correcta.",Opción A para pregunta 127,Opción B para pregunta 127,Opción C para pregunta 127,Opción D para pregunta 127,D,Lectura crítica,Genérico,Genérica
"Pregunta 128: En el contexto de comunicación escrita, seleccione la opción correcta.",Opción A para pregunta 128,Opción B para pregunta 128,Opción C para pregunta 128,Opción D para pregunta 128,B,Comunicación escrita,Genérico,Genérica
"Pregunta 129: En el contexto de competencias ciudadanas, seleccione la opción correcta.",Opción A para pregunta 129,Opción B para pregunta 129,Opción C para pregunta 129,Opción D para pregunta 129,C,Competencias ciudadanas,Genérico,Genérica
"Pregunta 130: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 130,Opción B para pregunta 130,Opción C para pregunta 130,Opción D para pregunta 130,D,Inglés,Ingeniería,Específica
"Pregunta 131: En el contexto de competencias ciudadanas, seleccione la opción correcta.",Opción A para pregunta 131,Opción B para pregunta 131,Opción C para pregunta 131,Opción D para pregunta 131,D,Competencias ciudadanas,Genérico,Genérica
"Pregunta 132: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 132,Opción B para pregunta 132,Opción C para pregunta 132,Opción D para pregunta 132,B,Inglés,Ingeniería,Específica
"Pregunta 133: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 133,Opción B para pregunta 133,Opción C para pregunta 133,Opción D para pregunta 133,A,Inglés,Genérico,Genérica
"Pregunta 134: En el contexto de inglés, seleccione la opción correcta.",Opción A para pregunta 134,Opción B para pregunta 134,Opción C para pregunta 134,Opción D para pregunta 134,A,Inglés,Salud,Específica
