id,enunciado,grupo_referencia,modulo,tipo_prueba,puntaje,creado_en
53,Esta es la pregunta 53 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.43,2025-08-13 16:54:01.294441
54,Esta es la pregunta 54 del módulo Inglés para el grupo Ingeniería.,Ingeniería,Inglés,especifica,1.9,2025-08-13 16:54:01.294450
55,Esta es la pregunta 55 del módulo Lectura Crítica para el grupo Tecnología.,Tecnología,Lectura Crítica,especifica,1.19,2025-08-13 16:54:01.294456
56,Esta es la pregunta 56 del módulo Comunicación Escrita para el grupo Salud.,Salud,Comunicación Escrita,especifica,1.86,2025-08-13 16:54:01.294462
57,Esta es la pregunta 57 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.21,2025-08-13 16:54:01.294468
58,Esta es la pregunta 58 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.2,2025-08-13 16:54:01.294476
59,Esta es la pregunta 59 del módulo Razonamiento Cuantitativo para el grupo Administración.,Administración,Razonamiento Cuantitativo,especifica,1.35,2025-08-13 16:54:01.294482
60,Esta es la pregunta 60 del módulo Razonamiento Cuantitativo para el grupo Educación.,Educación,Razonamiento Cuantitativo,especifica,1.75,2025-08-13 16:54:01.294489
61,Esta es la pregunta 61 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.18,2025-08-13 16:54:01.294497
62,Esta es la pregunta 62 del módulo Lectura Crítica para el grupo Administración.,Administración,Lectura Crítica,especifica,1.25,2025-08-13 16:54:01.294504
63,Esta es la pregunta 63 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.01,2025-08-13 16:54:01.294512
64,Esta es la pregunta 64 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.92,2025-08-13 16:54:01.294518
65,Esta es la pregunta 65 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.7,2025-08-13 16:54:01.294524
66,Esta es la pregunta 66 del módulo Comunicación Escrita para el grupo Tecnología.,Tecnología,Comunicación Escrita,especifica,0.92,2025-08-13 16:54:01.294531
67,Esta es la pregunta 67 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.0,2025-08-13 16:54:01.294537
68,Esta es la pregunta 68 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.82,2025-08-13 16:54:01.294543
69,Esta es la pregunta 69 del módulo Comunicación Escrita para el grupo Educación.,Educación,Comunicación Escrita,especifica,0.9,2025-08-13 16:54:01.294550
70,Esta es la pregunta 70 del módulo Inglés para el grupo Tecnología.,Tecnología,Inglés,especifica,0.76,2025-08-13 16:54:01.294556
71,Esta es la pregunta 71 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.89,2025-08-13 16:54:01.294562
72,Esta es la pregunta 72 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.04,2025-08-13 16:54:01.294570
73,Esta es la pregunta 73 del módulo Lectura Crítica para el grupo Educación.,Educación,Lectura Crítica,especifica,0.64,2025-08-13 16:54:01.294578
74,Esta es la pregunta 74 del módulo Lectura Crítica para el grupo Administración.,Administración,Lectura Crítica,especifica,0.96,2025-08-13 16:54:01.294584
75,Esta es la pregunta 75 del módulo Lectura Crítica para el grupo Ingeniería.,Ingeniería,Lectura Crítica,especifica,1.29,2025-08-13 16:54:01.294593
76,Esta es la pregunta 76 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.29,2025-08-13 16:54:01.294601
77,Esta es la pregunta 77 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.59,2025-08-13 16:54:01.294607
78,Esta es la pregunta 78 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.2,2025-08-13 16:54:01.294613
79,Esta es la pregunta 79 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.01,2025-08-13 16:54:01.294619
80,Esta es la pregunta 80 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.95,2025-08-13 16:54:01.294625
81,Esta es la pregunta 81 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.03,2025-08-13 16:54:01.294631
82,Esta es la pregunta 82 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.77,2025-08-13 16:54:01.294641
83,Esta es la pregunta 83 del módulo Lectura Crítica para el grupo Salud.,Salud,Lectura Crítica,especifica,0.7,2025-08-13 16:54:01.294649
84,Esta es la pregunta 84 del módulo Lectura Crítica para el grupo Administración.,Administración,Lectura Crítica,especifica,1.33,2025-08-13 16:54:01.294657
85,Esta es la pregunta 85 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.62,2025-08-13 16:54:01.294664
86,Esta es la pregunta 86 del módulo Inglés para el grupo Educación.,Educación,Inglés,especifica,1.02,2025-08-13 16:54:01.294670
87,Esta es la pregunta 87 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,0.58,2025-08-13 16:54:01.294676
88,Esta es la pregunta 88 del módulo Inglés para el grupo Salud.,Salud,Inglés,especifica,0.8,2025-08-13 16:54:01.294683
89,Esta es la pregunta 89 del módulo Competencias Ciudadanas para el grupo Tecnología.,Tecnología,Competencias Ciudadanas,especifica,1.36,2025-08-13 16:54:01.294689
90,Esta es la pregunta 90 del módulo Comunicación Escrita para el grupo Tecnología.,Tecnología,Comunicación Escrita,especifica,1.94,2025-08-13 16:54:01.294695
91,Esta es la pregunta 91 del módulo Razonamiento Cuantitativo para el grupo Ingeniería.,Ingeniería,Razonamiento Cuantitativo,especifica,1.58,2025-08-13 16:54:01.294703
92,Esta es la pregunta 92 del módulo Lectura Crítica para el grupo Administración.,Administración,Lectura Crítica,especifica,1.02,2025-08-13 16:54:01.294712
93,Esta es la pregunta 93 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.14,2025-08-13 16:54:01.294720
94,Esta es la pregunta 94 del módulo Razonamiento Cuantitativo para el grupo Educación.,Educación,Razonamiento Cuantitativo,especifica,0.76,2025-08-13 16:54:01.294728
95,Esta es la pregunta 95 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.78,2025-08-13 16:54:01.294734
96,Esta es la pregunta 96 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.76,2025-08-13 16:54:01.294740
97,Esta es la pregunta 97 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.26,2025-08-13 16:54:01.294746
98,Esta es la pregunta 98 del módulo Comunicación Escrita para el grupo Salud.,Salud,Comunicación Escrita,especifica,1.1,2025-08-13 16:54:01.294753
99,Esta es la pregunta 99 del módulo Comunicación Escrita para el grupo Ingeniería.,Ingeniería,Comunicación Escrita,especifica,0.69,2025-08-13 16:54:01.294759
100,Esta es la pregunta 100 del módulo Lectura Crítica para el grupo Educación.,Educación,Lectura Crítica,especifica,1.34,2025-08-13 16:54:01.294767
101,Esta es la pregunta 101 del módulo Inglés para el grupo Administración.,Administración,Inglés,especifica,0.53,2025-08-13 16:54:01.294773
102,Esta es la pregunta 102 del módulo Competencias Ciudadanas para el grupo Salud.,Salud,Competencias Ciudadanas,especifica,0.93,2025-08-13 16:54:01.294779
103,Esta es la pregunta 103 del módulo Comunicación Escrita para el grupo Educación.,Educación,Comunicación Escrita,especifica,1.5,2025-08-13 16:54:01.294786
104,Esta es la pregunta 104 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.54,2025-08-13 16:54:01.294794
105,Esta es la pregunta 105 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.08,2025-08-13 16:54:01.294800
106,Esta es la pregunta 106 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,0.59,2025-08-13 16:54:01.294806
107,Esta es la pregunta 107 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,0.65,2025-08-13 16:54:01.294811
108,Esta es la pregunta 108 del módulo Razonamiento Cuantitativo para el grupo Educación.,Educación,Razonamiento Cuantitativo,especifica,1.9,2025-08-13 16:54:01.294818
109,Esta es la pregunta 109 del módulo Razonamiento Cuantitativo para el grupo Administración.,Administración,Razonamiento Cuantitativo,especifica,1.0,2025-08-13 16:54:01.294847
110,Esta es la pregunta 110 del módulo Competencias Ciudadanas para el grupo Tecnología.,Tecnología,Competencias Ciudadanas,especifica,1.23,2025-08-13 16:54:01.294858
111,Esta es la pregunta 111 del módulo Competencias Ciudadanas para el grupo Salud.,Salud,Competencias Ciudadanas,especifica,0.89,2025-08-13 16:54:01.294868
112,Esta es la pregunta 112 del módulo Comunicación Escrita para el grupo Educación.,Educación,Comunicación Escrita,especifica,0.97,2025-08-13 16:54:01.294882
113,Esta es la pregunta 113 del módulo Inglés para el grupo Tecnología.,Tecnología,Inglés,especifica,1.96,2025-08-13 16:54:01.294888
114,Esta es la pregunta 114 del módulo Razonamiento Cuantitativo para el grupo Tecnología.,Tecnología,Razonamiento Cuantitativo,especifica,1.04,2025-08-13 16:54:01.294897
115,Esta es la pregunta 115 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.31,2025-08-13 16:54:01.294903
116,Esta es la pregunta 116 del módulo Lectura Crítica para el grupo Tecnología.,Tecnología,Lectura Crítica,especifica,1.95,2025-08-13 16:54:01.294909
117,Esta es la pregunta 117 del módulo Competencias Ciudadanas para el grupo Ingeniería.,Ingeniería,Competencias Ciudadanas,especifica,1.84,2025-08-13 16:54:01.294916
118,Esta es la pregunta 118 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.93,2025-08-13 16:54:01.294924
119,Esta es la pregunta 119 del módulo Lectura Crítica para el grupo Educación.,Educación,Lectura Crítica,especifica,1.04,2025-08-13 16:54:01.294930
120,Esta es la pregunta 120 del módulo Competencias Ciudadanas para el grupo Salud.,Salud,Competencias Ciudadanas,especifica,0.94,2025-08-13 16:54:01.294936
121,Esta es la pregunta 121 del módulo Comunicación Escrita para el grupo Salud.,Salud,Comunicación Escrita,especifica,0.58,2025-08-13 16:54:01.294942
122,Esta es la pregunta 122 del módulo Lectura Crítica para el grupo Tecnología.,Tecnología,Lectura Crítica,especifica,1.56,2025-08-13 16:54:01.294949
123,Esta es la pregunta 123 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.02,2025-08-13 16:54:01.294955
124,Esta es la pregunta 124 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,0.74,2025-08-13 16:54:01.294961
125,Esta es la pregunta 125 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.51,2025-08-13 16:54:01.294969
126,Esta es la pregunta 126 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,0.79,2025-08-13 16:54:01.294977
127,Esta es la pregunta 127 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.61,2025-08-13 16:54:01.294985
128,Esta es la pregunta 128 del módulo Comunicación Escrita para el grupo Educación.,Educación,Comunicación Escrita,especifica,1.37,2025-08-13 16:54:01.295023
129,Esta es la pregunta 129 del módulo Razonamiento Cuantitativo para el grupo Tecnología.,Tecnología,Razonamiento Cuantitativo,especifica,0.96,2025-08-13 16:54:01.295029
130,Esta es la pregunta 130 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.26,2025-08-13 16:54:01.295035
131,Esta es la pregunta 131 del módulo Razonamiento Cuantitativo para el grupo Educación.,Educación,Razonamiento Cuantitativo,especifica,1.53,2025-08-13 16:54:01.295042
132,Esta es la pregunta 132 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.58,2025-08-13 16:54:01.295048
133,Esta es la pregunta 133 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.27,2025-08-13 16:54:01.295056
134,Esta es la pregunta 134 del módulo Lectura Crítica para el grupo Ingeniería.,Ingeniería,Lectura Crítica,especifica,0.87,2025-08-13 16:54:01.295063
135,Esta es la pregunta 135 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,0.92,2025-08-13 16:54:01.295068
136,Esta es la pregunta 136 del módulo Competencias Ciudadanas para el grupo Educación.,Educación,Competencias Ciudadanas,especifica,1.86,2025-08-13 16:54:01.295078
137,Esta es la pregunta 137 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,0.64,2025-08-13 16:54:01.295085
138,Esta es la pregunta 138 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.13,2025-08-13 16:54:01.295090
139,Esta es la pregunta 139 del módulo Razonamiento Cuantitativo para el grupo Ingeniería.,Ingeniería,Razonamiento Cuantitativo,especifica,1.06,2025-08-13 16:54:01.295097
140,Esta es la pregunta 140 del módulo Inglés para el grupo Administración.,Administración,Inglés,especifica,1.97,2025-08-13 16:54:01.295103
141,Esta es la pregunta 141 del módulo Lectura Crítica para el grupo Salud.,Salud,Lectura Crítica,especifica,1.07,2025-08-13 16:54:01.295109
142,Esta es la pregunta 142 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.75,2025-08-13 16:54:01.295115
143,Esta es la pregunta 143 del módulo Competencias Ciudadanas para el grupo Administración.,Administración,Competencias Ciudadanas,especifica,0.97,2025-08-13 16:54:01.295124
144,Esta es la pregunta 144 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.83,2025-08-13 16:54:01.295130
145,Esta es la pregunta 145 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.62,2025-08-13 16:54:01.295137
146,Esta es la pregunta 146 del módulo Razonamiento Cuantitativo para el grupo Ingeniería.,Ingeniería,Razonamiento Cuantitativo,especifica,1.29,2025-08-13 16:54:01.295146
147,Esta es la pregunta 147 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,0.67,2025-08-13 16:54:01.295153
148,Esta es la pregunta 148 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.34,2025-08-13 16:54:01.295159
149,Esta es la pregunta 149 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.15,2025-08-13 16:54:01.295164
150,Esta es la pregunta 150 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,0.71,2025-08-13 16:54:01.295171
151,Esta es la pregunta 151 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.94,2025-08-13 16:54:01.295178
152,Esta es la pregunta 152 del módulo Razonamiento Cuantitativo para el grupo Educación.,Educación,Razonamiento Cuantitativo,especifica,0.92,2025-08-13 16:54:01.295185
153,Esta es la pregunta 153 del módulo Inglés para el grupo Ingeniería.,Ingeniería,Inglés,especifica,1.81,2025-08-13 16:54:01.295191
154,Esta es la pregunta 154 del módulo Razonamiento Cuantitativo para el grupo Administración.,Administración,Razonamiento Cuantitativo,especifica,1.43,2025-08-13 16:54:01.295199
155,Esta es la pregunta 155 del módulo Razonamiento Cuantitativo para el grupo Ingeniería.,Ingeniería,Razonamiento Cuantitativo,especifica,1.94,2025-08-13 16:54:01.295205
156,Esta es la pregunta 156 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.52,2025-08-13 16:54:01.295214
157,Esta es la pregunta 157 del módulo Razonamiento Cuantitativo para el grupo Educación.,Educación,Razonamiento Cuantitativo,especifica,0.72,2025-08-13 16:54:01.295222
158,Esta es la pregunta 158 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,0.57,2025-08-13 16:54:01.295228
159,Esta es la pregunta 159 del módulo Inglés para el grupo Tecnología.,Tecnología,Inglés,especifica,1.28,2025-08-13 16:54:01.295234
160,Esta es la pregunta 160 del módulo Razonamiento Cuantitativo para el grupo Tecnología.,Tecnología,Razonamiento Cuantitativo,especifica,1.28,2025-08-13 16:54:01.295242
161,Esta es la pregunta 161 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,0.94,2025-08-13 16:54:01.295248
162,Esta es la pregunta 162 del módulo Competencias Ciudadanas para el grupo Salud.,Salud,Competencias Ciudadanas,especifica,0.8,2025-08-13 16:54:01.295255
163,Esta es la pregunta 163 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.78,2025-08-13 16:54:01.295263
164,Esta es la pregunta 164 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,0.64,2025-08-13 16:54:01.295269
165,Esta es la pregunta 165 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.25,2025-08-13 16:54:01.295275
166,Esta es la pregunta 166 del módulo Razonamiento Cuantitativo para el grupo Ingeniería.,Ingeniería,Razonamiento Cuantitativo,especifica,0.69,2025-08-13 16:54:01.295281
167,Esta es la pregunta 167 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.43,2025-08-13 16:54:01.295287
168,Esta es la pregunta 168 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.98,2025-08-13 16:54:01.295295
169,Esta es la pregunta 169 del módulo Inglés para el grupo Salud.,Salud,Inglés,especifica,1.5,2025-08-13 16:54:01.295301
170,Esta es la pregunta 170 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.18,2025-08-13 16:54:01.295308
171,Esta es la pregunta 171 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,1.17,2025-08-13 16:54:01.295315
172,Esta es la pregunta 172 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,1.99,2025-08-13 16:54:01.295323
173,Esta es la pregunta 173 del módulo Comunicación Escrita para el grupo Tecnología.,Tecnología,Comunicación Escrita,especifica,1.57,2025-08-13 16:54:01.295330
174,Esta es la pregunta 174 del módulo Competencias Ciudadanas para el grupo Todos.,Todos,Competencias Ciudadanas,generica,0.59,2025-08-13 16:54:01.295336
175,Esta es la pregunta 175 del módulo Lectura Crítica para el grupo Salud.,Salud,Lectura Crítica,especifica,1.08,2025-08-13 16:54:01.295343
176,Esta es la pregunta 176 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,0.64,2025-08-13 16:54:01.295349
177,Esta es la pregunta 177 del módulo Comunicación Escrita para el grupo Todos.,Todos,Comunicación Escrita,generica,0.87,2025-08-13 16:54:01.295358
178,Esta es la pregunta 178 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.77,2025-08-13 16:54:01.295366
179,Esta es la pregunta 179 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,1.6,2025-08-13 16:54:01.295372
180,Esta es la pregunta 180 del módulo Comunicación Escrita para el grupo Educación.,Educación,Comunicación Escrita,especifica,1.24,2025-08-13 16:54:01.295378
181,Esta es la pregunta 181 del módulo Lectura Crítica para el grupo Ingeniería.,Ingeniería,Lectura Crítica,especifica,1.24,2025-08-13 16:54:01.295388
182,Esta es la pregunta 182 del módulo Razonamiento Cuantitativo para el grupo Todos.,Todos,Razonamiento Cuantitativo,generica,0.51,2025-08-13 16:54:01.295426
183,Esta es la pregunta 183 del módulo Inglés para el grupo Todos.,Todos,Inglés,generica,1.0,2025-08-13 16:54:01.295432
184,Esta es la pregunta 184 del módulo Lectura Crítica para el grupo Todos.,Todos,Lectura Crítica,generica,1.55,2025-08-13 16:54:01.295438
