componente,modulo,grupo_ref,tipo_prueba,enunciado,op_a,op_b,op_c,op_d,correcta
Lectura Crítica,Marketing,Administración,especifica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Impacto social de la digitalización,Equilibrio entre innovación y formación,Retos de implementación tecnológica,Limitaciones del acceso remoto,C
Lectura Crítica,Sistemas Embebidos,Ingeniería,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Impacto social de la digitalización,Retos de implementación tecnológica,C
Lectura Crítica,Bioética,Salud,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Retos de implementación tecnológica,Impacto social de la digitalización,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,B
Lectura Crítica,Coherencia y Cohesión,Administración,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Equilibrio entre innovación y formación,Impacto social de la digitalización,Limitaciones del acceso remoto,A
Lectura Crítica,Bioética,Salud,especifica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Retos de implementación tecnológica,Limitaciones del acceso remoto,Impacto social de la digitalización,Equilibrio entre innovación y formación,C
Lectura Crítica,Fisiología,Salud,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Equilibrio entre innovación y formación,Impacto social de la digitalización,Limitaciones del acceso remoto,Retos de implementación tecnológica,B
Lectura Crítica,Sistemas Embebidos,Ingeniería,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Retos de implementación tecnológica,Equilibrio entre innovación y formación,Impacto social de la digitalización,Limitaciones del acceso remoto,C
Lectura Crítica,Identificación de Tesis,Tecnología,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Impacto social de la digitalización,Retos de implementación tecnológica,D
Lectura Crítica,Interpretación Gráfica,Tecnología,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Retos de implementación tecnológica,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Impacto social de la digitalización,D
Lectura Crítica,Comprensión de Textos,Ingeniería,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Impacto social de la digitalización,Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Retos de implementación tecnológica,A
Lectura Crítica,Identificación de Tesis,Administración,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Impacto social de la digitalización,Retos de implementación tecnológica,C
Lectura Crítica,Identificación de Tesis,Educación,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Retos de implementación tecnológica,Impacto social de la digitalización,C
Lectura Crítica,Identificación de Tesis,Derecho,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Impacto social de la digitalización,Limitaciones del acceso remoto,Retos de implementación tecnológica,Equilibrio entre innovación y formación,A
Lectura Crítica,Identificación de Tesis,Derecho,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Impacto social de la digitalización,Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Retos de implementación tecnológica,D
Lectura Crítica,Interpretación Gráfica,Derecho,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Impacto social de la digitalización,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,A
Lectura Crítica,Comprensión de Textos,Educación,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Retos de implementación tecnológica,Equilibrio entre innovación y formación,Impacto social de la digitalización,Limitaciones del acceso remoto,C
Lectura Crítica,Identificación de Tesis,Ingeniería,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Retos de implementación tecnológica,Impacto social de la digitalización,D
Lectura Crítica,Derecho Laboral,Derecho,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Impacto social de la digitalización,Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Retos de implementación tecnológica,A
Lectura Crítica,Interpretación Gráfica,Salud,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Retos de implementación tecnológica,Limitaciones del acceso remoto,Impacto social de la digitalización,Equilibrio entre innovación y formación,C
Lectura Crítica,Coherencia y Cohesión,Salud,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Impacto social de la digitalización,Retos de implementación tecnológica,D
Lectura Crítica,Identificación de Tesis,Administración,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Impacto social de la digitalización,Retos de implementación tecnológica,C
Lectura Crítica,Fisiología,Salud,especifica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Impacto social de la digitalización,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Retos de implementación tecnológica,A
Lectura Crítica,Interpretación Gráfica,Derecho,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Retos de implementación tecnológica,Impacto social de la digitalización,C
Lectura Crítica,Coherencia y Cohesión,Tecnología,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Impacto social de la digitalización,Equilibrio entre innovación y formación,Retos de implementación tecnológica,Limitaciones del acceso remoto,A
Lectura Crítica,Coherencia y Cohesión,Salud,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Retos de implementación tecnológica,Impacto social de la digitalización,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,B
Lectura Crítica,Coherencia y Cohesión,Ingeniería,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Impacto social de la digitalización,Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Retos de implementación tecnológica,D
Lectura Crítica,Bioética,Salud,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Impacto social de la digitalización,Retos de implementación tecnológica,C
Lectura Crítica,Coherencia y Cohesión,Tecnología,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Impacto social de la digitalización,Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Retos de implementación tecnológica,D
Lectura Crítica,Didáctica,Educación,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Retos de implementación tecnológica,Limitaciones del acceso remoto,Impacto social de la digitalización,Equilibrio entre innovación y formación,C
Lectura Crítica,Comprensión de Textos,Ingeniería,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Limitaciones del acceso remoto,Impacto social de la digitalización,Retos de implementación tecnológica,Equilibrio entre innovación y formación,B
Lectura Crítica,Didáctica,Educación,especifica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Limitaciones del acceso remoto,Impacto social de la digitalización,Equilibrio entre innovación y formación,Retos de implementación tecnológica,B
Lectura Crítica,Identificación de Tesis,Educación,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Retos de implementación tecnológica,Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Impacto social de la digitalización,D
Lectura Crítica,Identificación de Tesis,Educación,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Limitaciones del acceso remoto,Retos de implementación tecnológica,Equilibrio entre innovación y formación,Impacto social de la digitalización,D
Lectura Crítica,Identificación de Tesis,Ingeniería,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Impacto social de la digitalización,Retos de implementación tecnológica,Equilibrio entre innovación y formación,Limitaciones del acceso remoto,A
Lectura Crítica,Sistemas Embebidos,Ingeniería,especifica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Equilibrio entre innovación y formación,Retos de implementación tecnológica,Impacto social de la digitalización,Limitaciones del acceso remoto,C
Lectura Crítica,Identificación de Tesis,Derecho,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Impacto social de la digitalización,A
Lectura Crítica,Salud Pública,Salud,especifica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Impacto social de la digitalización,Retos de implementación tecnológica,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,B
Lectura Crítica,Comprensión de Textos,Salud,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Equilibrio entre innovación y formación,Retos de implementación tecnológica,Impacto social de la digitalización,Limitaciones del acceso remoto,C
Lectura Crítica,Coherencia y Cohesión,Derecho,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Impacto social de la digitalización,Equilibrio entre innovación y formación,Limitaciones del acceso remoto,A
Lectura Crítica,Coherencia y Cohesión,Educación,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Equilibrio entre innovación y formación,Retos de implementación tecnológica,Limitaciones del acceso remoto,Impacto social de la digitalización,D
Lectura Crítica,Coherencia y Cohesión,Administración,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Impacto social de la digitalización,A
Lectura Crítica,Interpretación Gráfica,Educación,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Limitaciones del acceso remoto,Impacto social de la digitalización,Equilibrio entre innovación y formación,Retos de implementación tecnológica,B
Lectura Crítica,Comprensión de Textos,Ingeniería,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Equilibrio entre innovación y formación,Impacto social de la digitalización,Limitaciones del acceso remoto,A
Lectura Crítica,Coherencia y Cohesión,Salud,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Limitaciones del acceso remoto,Impacto social de la digitalización,Equilibrio entre innovación y formación,Retos de implementación tecnológica,B
Lectura Crítica,Desarrollo Web,Tecnología,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Equilibrio entre innovación y formación,Retos de implementación tecnológica,Limitaciones del acceso remoto,Impacto social de la digitalización,D
Lectura Crítica,Identificación de Tesis,Administración,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Equilibrio entre innovación y formación,Impacto social de la digitalización,Limitaciones del acceso remoto,A
Lectura Crítica,Derecho Laboral,Derecho,especifica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Limitaciones del acceso remoto,Impacto social de la digitalización,Equilibrio entre innovación y formación,Retos de implementación tecnológica,D
Lectura Crítica,Coherencia y Cohesión,Ingeniería,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Impacto social de la digitalización,Equilibrio entre innovación y formación,Retos de implementación tecnológica,Limitaciones del acceso remoto,C
Lectura Crítica,Identificación de Tesis,Tecnología,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Limitaciones del acceso remoto,Retos de implementación tecnológica,Equilibrio entre innovación y formación,Impacto social de la digitalización,D
Lectura Crítica,Análisis de Señales,Ingeniería,especifica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Retos de implementación tecnológica,Limitaciones del acceso remoto,Impacto social de la digitalización,Equilibrio entre innovación y formación,C
Lectura Crítica,Ciencia de Datos,Tecnología,especifica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Impacto social de la digitalización,A
Lectura Crítica,Emprendimiento,Administración,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Impacto social de la digitalización,Retos de implementación tecnológica,Equilibrio entre innovación y formación,Limitaciones del acceso remoto,A
Lectura Crítica,Comprensión de Textos,Tecnología,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Limitaciones del acceso remoto,Impacto social de la digitalización,Equilibrio entre innovación y formación,Retos de implementación tecnológica,B
Lectura Crítica,Coherencia y Cohesión,Educación,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Impacto social de la digitalización,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Retos de implementación tecnológica,A
Lectura Crítica,Comprensión de Textos,Ingeniería,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Impacto social de la digitalización,Retos de implementación tecnológica,C
Lectura Crítica,Currículo,Educación,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Impacto social de la digitalización,Equilibrio entre innovación y formación,Retos de implementación tecnológica,Limitaciones del acceso remoto,A
Lectura Crítica,Comprensión de Textos,Derecho,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Limitaciones del acceso remoto,Impacto social de la digitalización,Retos de implementación tecnológica,Equilibrio entre innovación y formación,B
Lectura Crítica,Sistemas Embebidos,Ingeniería,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Retos de implementación tecnológica,Impacto social de la digitalización,Equilibrio entre innovación y formación,Limitaciones del acceso remoto,B
Lectura Crítica,Identificación de Tesis,Ingeniería,generica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Limitaciones del acceso remoto,Equilibrio entre innovación y formación,Retos de implementación tecnológica,Impacto social de la digitalización,D
Lectura Crítica,Derecho Laboral,Derecho,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Limitaciones del acceso remoto,Retos de implementación tecnológica,Impacto social de la digitalización,Equilibrio entre innovación y formación,C
Lectura Crítica,Interpretación Gráfica,Administración,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Retos de implementación tecnológica,Impacto social de la digitalización,Limitaciones del acceso remoto,Equilibrio entre innovación y formación,B
Lectura Crítica,Farmacología,Salud,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Equilibrio entre innovación y formación,Impacto social de la digitalización,Limitaciones del acceso remoto,Retos de implementación tecnológica,B
Lectura Crítica,Coherencia y Cohesión,Salud,generica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Retos de implementación tecnológica,Impacto social de la digitalización,C
Lectura Crítica,Redes y Telecomunicaciones,Ingeniería,especifica,"Lea y elija el mejor título. Fragmento: ""Los sistemas de salud afrontan retos de cobertura y calidad en zonas rurales.""",Limitaciones del acceso remoto,Retos de implementación tecnológica,Impacto social de la digitalización,Equilibrio entre innovación y formación,C
Lectura Crítica,Interpretación Gráfica,Educación,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Limitaciones del acceso remoto,Impacto social de la digitalización,Retos de implementación tecnológica,Equilibrio entre innovación y formación,B
Lectura Crítica,Currículo,Educación,especifica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Limitaciones del acceso remoto,Retos de implementación tecnológica,Impacto social de la digitalización,Equilibrio entre innovación y formación,B
Lectura Crítica,Sistemas Operativos,Tecnología,especifica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Equilibrio entre innovación y formación,Retos de implementación tecnológica,Impacto social de la digitalización,Limitaciones del acceso remoto,C
Lectura Crítica,Emprendimiento,Administración,especifica,"Lea y elija el mejor título. Fragmento: ""La adopción de tecnología en educación superior mejora el acceso pero exige formación docente.""",Retos de implementación tecnológica,Equilibrio entre innovación y formación,Impacto social de la digitalización,Limitaciones del acceso remoto,A
Lectura Crítica,Interpretación Gráfica,Tecnología,generica,"Lea y elija el mejor título. Fragmento: ""La sostenibilidad empresarial requiere equilibrar rentabilidad con responsabilidad social.""",Equilibrio entre innovación y formación,Limitaciones del acceso remoto,Impacto social de la digitalización,Retos de implementación tecnológica,C
